session,configs,trades,net_profit,pct_configs_profitable,median_net,win_rate,median_profit_factor,median_max_dd_pct,long_net,short_net,avg_hold_min,best_config,best_net
ASIA,162,66196,11179259.999999935,99.38271604938271,66614.50000000006,35.80881020001209,1.3307058819148976,14.765080235978765,5694469.999999909,5484790.000000028,64.45919693032812,M5_ASIA_ORB60_INCLUDE_NEWS_RR4,149780.0000000003
LONDON,162,63958,-6575692.999999909,1.2345679012345678,-41228.99999999908,29.239500922480378,0.8385086852247199,58.75171278027942,-4705929.000000043,-1869763.9999998626,59.08205384783764,M15_LONDON_ORB30_INCLUDE_NEWS_RR1,3300.000000000553
NEW_YORK,162,37851,2136665.000000026,68.51851851851852,15108.499999999702,40.60923093181158,1.070454942531363,24.824522747828752,-3206537.0000000116,5343202.00000003,146.31045414916383,M15_NEW_YORK_ORB15_INCLUDE_NEWS_RR4p5,61459.00000000035
