timeframe,session,orb_minutes,risk_reward,trades_include,net_profit_include,profit_factor_include,win_rate_include,max_dd_pct_include,max_consec_losses_include,avg_r_include,trades_skip,net_profit_skip,profit_factor_skip,win_rate_skip,max_dd_pct_skip,max_consec_losses_skip,avg_r_skip,delta_trades,delta_net_profit,delta_profit_factor,delta_win_rate,delta_max_dd_pct,delta_max_consec_losses,delta_avg_r
M1,ASIA,30,3.5,633,107592.99999999959,1.3583685840855322,27.804107424960506,13.50186242300968,27,0.12775891794207422,422,97416.99999999956,1.496329130047123,27.72511848341232,9.815018345062294,16,0.15986783598950335,-211,-10176.00000000003,0.1379605459615909,-0.07898894154818592,-3.686844077947386,-11,0.03210891804742913
M1,ASIA,30,4.0,630,120425.00000000015,1.3972783505154636,26.50793650793651,12.535139621429266,27,0.1521989377487851,419,105264.99999999953,1.531574296174721,26.014319809069214,9.303410386648867,16,0.16483307907847652,-211,-15160.000000000611,0.1342959456592574,-0.49361669886729587,-3.231729234780399,-11,0.012634141329691428
M1,ASIA,30,4.5,624,134511.99999999977,1.4433487145682253,25.48076923076923,12.389404953112411,27,0.16690096858073514,416,119716.99999999933,1.603610053697023,25.0,8.989563092209522,16,0.18258939166850008,-208,-14795.000000000437,0.1602613391287977,-0.48076923076922995,-3.399841860902889,-11,0.01568842308776494
M1,ASIA,30,5.0,619,124479.99999999997,1.4097972083223589,24.717285945072696,12.951362212634935,27,0.17315364239202108,414,111724.99999999945,1.562152506981303,24.396135265700483,9.307752138968251,16,0.20060927169646942,-205,-12755.000000000524,0.15235529865894404,-0.321150679372213,-3.643610073666684,-11,0.027455629304448337
M1,ASIA,60,1.0,552,54720.00000000108,1.224552188275852,53.62318840579711,14.24930907002616,6,0.08127125859126805,356,43900.00000000061,1.2710964275789707,54.49438202247191,12.168859414554174,8,0.10163231948834253,-196,-10820.000000000466,0.04654423930311857,0.8711936166748018,-2.080449655471986,2,0.020361060897074484
M1,ASIA,60,1.5,497,60813.00000000038,1.232852794210559,43.86317907444668,17.728852051050033,10,0.08224671422692163,324,51181.00000000058,1.2899116347569997,44.44444444444444,14.460120627900643,10,0.10967731490925174,-173,-9631.999999999796,0.057058840546440726,0.5812653699977659,-3.26873142314939,0,0.02743060068233011
M1,ASIA,60,2.0,478,89119.99999999974,1.3312641712820132,38.912133891213394,14.02688486265338,18,0.11991396372197285,314,77054.99999999942,1.4212382123821217,39.490445859872615,13.05422299752885,12,0.1466169243561251,-164,-12065.00000000032,0.08997404110010843,0.5783119686592215,-0.9726618651245307,-6,0.026702960634152256
M1,ASIA,60,2.5,463,69074.00000000023,1.2517824597215155,35.20518358531318,17.900221209489747,18,0.1172578603953495,303,54439.999999999854,1.2917626882469593,35.31353135313531,15.09289813946916,12,0.12333276549720293,-160,-14634.000000000378,0.039980228525443806,0.1083477678221314,-2.807323070020587,-6,0.006074905101853434
M1,ASIA,60,3.0,456,90710.00000000035,1.3285998913240376,33.55263157894737,14.847812205430403,18,0.14978563397905725,297,77160.00000000012,1.4142151599742339,34.00673400673401,12.75550674232703,12,0.1859224091272579,-159,-13550.000000000233,0.08561526865019631,0.454102427786637,-2.092305463103372,-6,0.036136775148200656
M1,ASIA,60,3.5,456,107279.00000000035,1.3846159361835644,32.45614035087719,13.79426607500224,25,0.17861146401463576,297,88450.00000000012,1.4685968583613702,32.659932659932664,13.11684931902945,12,0.21015269356657418,-159,-18829.000000000233,0.08398092217780584,0.20379230905547274,-0.6774167559727893,-13,0.031541229551938416
M1,ASIA,60,4.0,453,118065.00000000029,1.4193766095373441,31.125827814569533,19.33736423080062,25,0.18852263109939899,297,101885.00000000041,1.5330246671375176,30.976430976430976,14.621646065721952,12,0.21213049643912052,-156,-16179.999999999884,0.11364805760017349,-0.1493968381385571,-4.715718165078668,-13,0.023607865339721534
M1,ASIA,60,4.5,450,124098.0000000002,1.4405324813631544,30.444444444444446,20.80613053064176,25,0.18226246664513462,294,102318.00000000017,1.5348003345180872,29.931972789115648,16.29587681687013,15,0.17376800219319663,-156,-21780.00000000003,0.0942678531549328,-0.5124716553287989,-4.510253713771629,-10,-0.008494464451937994
M1,ASIA,60,5.0,447,114359.99999999997,1.4060646948123432,29.977628635346754,22.346111845508158,27,0.18965131892308174,293,92469.99999999991,1.4837562123986405,29.692832764505116,17.62784049473458,15,0.18385310267771168,-154,-21890.00000000006,0.07769151758629733,-0.2847958708416378,-4.718271350773577,-12,-0.0057982162453700525
M1,LONDON,15,1.0,894,-29660.00000000061,0.9034127914549932,48.88143176733781,39.53330422548979,10,-0.021399001438863176,627,-21935.000000000713,0.897843703427717,49.760765550239235,31.402187120291348,8,-0.005537317302344151,-267,7724.999999999898,-0.005569088027276181,0.8793337829014263,-8.131117105198445,-2,0.015861684136519026
M1,LONDON,15,1.5,833,-19942.99999999949,0.9401093125919715,39.73589435774309,34.33187351614157,10,-0.013852076176614526,581,-22352.999999998952,0.9047349130583063,39.41480206540447,31.948363566560328,10,-0.020149801319224434,-252,-2409.9999999994616,-0.03537439953366517,-0.32109229233861925,-2.383509949581242,0,-0.006297725142609907
M1,LONDON,15,2.0,796,-27694.999999999403,0.9205183027450548,33.165829145728644,42.57318224740328,14,-0.03077361745889986,553,-40214.999999998756,0.8363281170509397,32.368896925858955,49.63319359756012,14,-0.05509813708079302,-243,-12519.999999999352,-0.08419018569411507,-0.7969322198696887,7.060011350156842,0,-0.024324519621893165
M1,LONDON,15,2.5,771,-36279.999999999796,0.898742656191128,28.14526588845655,51.15543432965899,14,-0.05717042390410933,536,-50195.999999999025,0.8017026487842486,27.05223880597015,60.014639596254625,14,-0.10152760015976849,-235,-13915.999999999229,-0.09704000740687946,-1.093027082486401,8.859205266595637,0,-0.04435717625565916
M1,LONDON,15,3.0,754,-39854.99999999997,0.890517265060572,24.93368700265252,58.81342556055939,14,-0.0674330886484694,523,-54684.99999999939,0.7865326437005974,24.091778202676863,66.33233032430589,17,-0.1094645960896073,-231,-14829.999999999418,-0.10398462135997466,-0.8419087999756556,7.518904763746498,3,-0.0420315074411379
M1,LONDON,15,3.5,741,-35712.99999999997,0.9027158812312724,22.807017543859647,60.07032974554695,15,-0.06866638015817642,515,-52123.99999999936,0.7979063275434265,22.330097087378643,62.91661793942198,20,-0.09772685663873357,-226,-16410.99999999939,-0.10480955368784595,-0.4769204564810039,2.846288193875033,5,-0.02906047648055715
M1,LONDON,15,4.0,735,-34059.9999999993,0.9084556254367593,20.952380952380953,58.02609650014238,23,-0.08342963069825905,510,-54949.999999999054,0.7898902611555111,20.392156862745097,64.15103556076531,23,-0.11769145496648475,-225,-20889.999999999753,-0.1185653642812482,-0.5602240896358559,6.124939060622928,0,-0.0342618242682257
M1,LONDON,15,4.5,732,-22103.999999999447,0.9407859840874404,20.081967213114755,55.33040879716208,23,-0.07440823686627177,508,-49371.999999998894,0.8119913939186265,19.488188976377952,59.99785422376488,23,-0.11395494043306378,-224,-27267.999999999447,-0.1287945901688139,-0.593778236736803,4.667445426602804,0,-0.03954670356679202
M1,LONDON,15,5.0,728,-22664.999999999913,0.9396244006393191,18.956043956043956,54.5561501385254,23,-0.09195970452172063,504,-55044.999999999156,0.7913104467992368,18.055555555555554,64.83587426130943,23,-0.1545676757384468,-224,-32379.999999999243,-0.14831395384008228,-0.9004884004884026,10.279724122784025,0,-0.06260797121672616
