trade_month,strategy,net_profit,trades,configs,picks
2023-08,KEEP_WORST,-8700.0,285,5,M15_LONDON_ORB15_INCLUDE_NEWS_RR3p5|ORIGINAL;M15_LONDON_ORB15_SKIP_NEWS_RR3p5|ORIGINAL;M15_LONDON_ORB15_INCLUDE_NEWS_RR4|ORIGINAL;M15_LONDON_ORB15_SKIP_NEWS_RR4|ORIGINAL;M15_LONDON_ORB15_INCLUDE_NEWS_RR4p5|ORIGINAL
2023-08,FOLLOW_BEST,-3970.0,432,5,M5_LONDON_ORB15_INCLUDE_NEWS_RR1p5|ORIGINAL;M5_LONDON_ORB15_SKIP_NEWS_RR1p5|ORIGINAL;M1_LONDON_ORB60_INCLUDE_NEWS_RR1|ORIGINAL;M1_LONDON_ORB60_SKIP_NEWS_RR1|ORIGINAL;M1_LONDON_ORB60_INCLUDE_NEWS_RR1p5|ORIGINAL
2023-08,ALL_ORIGINAL,-246684.0,12440,162,
2023-08,ALL_R,29084.0,3690,162,
2023-08,ALL_RR,-50524.0,6090,162,
2023-08,ALL_RRR,-23490.0,7520,162,
2023-09,REVERSE_WORST,-13689.0,101,5,M5_LONDON_ORB30_INCLUDE_NEWS_RR4p5|R;M5_LONDON_ORB30_SKIP_NEWS_RR4p5|R;M5_LONDON_ORB30_INCLUDE_NEWS_RR5|R;M5_LONDON_ORB30_SKIP_NEWS_RR5|R;M15_LONDON_ORB15_INCLUDE_NEWS_RR3p5|R
2023-09,KEEP_WORST,21.0,230,5,M5_LONDON_ORB30_INCLUDE_NEWS_RR4p5|ORIGINAL;M5_LONDON_ORB30_SKIP_NEWS_RR4p5|ORIGINAL;M5_LONDON_ORB30_INCLUDE_NEWS_RR5|ORIGINAL;M5_LONDON_ORB30_SKIP_NEWS_RR5|ORIGINAL;M15_LONDON_ORB15_INCLUDE_NEWS_RR3p5|ORIGINAL
2023-09,FOLLOW_BEST,-2310.0,293,5,M5_LONDON_ORB15_INCLUDE_NEWS_RR1p5|ORIGINAL;M5_LONDON_ORB15_SKIP_NEWS_RR1p5|ORIGINAL;M1_LONDON_ORB60_INCLUDE_NEWS_RR1|ORIGINAL;M1_LONDON_ORB60_SKIP_NEWS_RR1|ORIGINAL;M5_LONDON_ORB15_INCLUDE_NEWS_RR2|ORIGINAL
2023-09,ALL_ORIGINAL,-10416.0,7990,162,
2023-09,ALL_R,-128408.0,3330,162,
2023-09,ALL_RR,-109788.0,5048,162,
2023-09,ALL_RRR,-104078.0,5772,162,
2023-10,REVERSE_WORST,-12377.0,253,5,M1_LONDON_ORB15_INCLUDE_NEWS_RR2p5|RRR;M1_LONDON_ORB15_SKIP_NEWS_RR2p5|RRR;M1_LONDON_ORB30_INCLUDE_NEWS_RR2|RRR;M1_LONDON_ORB30_SKIP_NEWS_RR2|RRR;M1_LONDON_ORB15_INCLUDE_NEWS_RR2|RRR
2023-10,KEEP_WORST,16571.0,439,5,M1_LONDON_ORB15_INCLUDE_NEWS_RR2p5|ORIGINAL;M1_LONDON_ORB15_SKIP_NEWS_RR2p5|ORIGINAL;M1_LONDON_ORB30_INCLUDE_NEWS_RR2|ORIGINAL;M1_LONDON_ORB30_SKIP_NEWS_RR2|ORIGINAL;M1_LONDON_ORB15_INCLUDE_NEWS_RR2|ORIGINAL
2023-10,FOLLOW_BEST,7461.0,333,5,M1_LONDON_ORB30_INCLUDE_NEWS_RR4p5|ORIGINAL;M1_LONDON_ORB30_SKIP_NEWS_RR4p5|ORIGINAL;M5_LONDON_ORB15_INCLUDE_NEWS_RR2|ORIGINAL;M5_LONDON_ORB15_SKIP_NEWS_RR2|ORIGINAL;M5_LONDON_ORB30_INCLUDE_NEWS_RR4|ORIGINAL
2023-10,ALL_ORIGINAL,91498.0,9454,162,
2023-10,ALL_R,-231030.0,3564,162,
2023-10,ALL_RR,-191342.0,5498,162,
2023-10,ALL_RRR,-205684.0,6526,162,
2023-11,REVERSE_WORST,-2086.0,138,5,M5_LONDON_ORB15_INCLUDE_NEWS_RR2p5|R;M5_LONDON_ORB15_SKIP_NEWS_RR2p5|R;M15_LONDON_ORB60_INCLUDE_NEWS_RR1|RRR;M15_LONDON_ORB60_SKIP_NEWS_RR1|RRR;M5_LONDON_ORB30_INCLUDE_NEWS_RR3p5|R
2023-11,KEEP_WORST,-5083.0,245,5,M5_LONDON_ORB15_INCLUDE_NEWS_RR2p5|ORIGINAL;M5_LONDON_ORB15_SKIP_NEWS_RR2p5|ORIGINAL;M15_LONDON_ORB60_INCLUDE_NEWS_RR1|ORIGINAL;M15_LONDON_ORB60_SKIP_NEWS_RR1|ORIGINAL;M5_LONDON_ORB30_INCLUDE_NEWS_RR3p5|ORIGINAL
2023-11,FOLLOW_BEST,1780.0,316,5,M1_LONDON_ORB30_INCLUDE_NEWS_RR4|ORIGINAL;M1_LONDON_ORB30_SKIP_NEWS_RR4|ORIGINAL;M1_LONDON_ORB30_INCLUDE_NEWS_RR1p5|ORIGINAL;M1_LONDON_ORB30_SKIP_NEWS_RR1p5|ORIGINAL;M1_LONDON_ORB30_INCLUDE_NEWS_RR4p5|ORIGINAL
2023-11,ALL_ORIGINAL,13752.0,8476,162,
2023-11,ALL_R,-86592.0,3528,162,
2023-11,ALL_RR,-140308.0,5040,162,
2023-11,ALL_RRR,-150838.0,5564,162,
