config,variant,trades,net,win_rate,pf,expectancy,avg_r,max_dd,max_dd_pct,recovery,months_up,months
M15_LONDON_ORB60_INCLUDE_NEWS_RR3p5,ORIGINAL,277.0,-23597.0,31.0,0.899,-85.2,-0.103,-42794.0,-43.27,-0.55,5.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR3p5,R,155.0,-34849.0,32.3,0.779,-224.8,-0.06,-42541.0,-39.5,-0.82,2.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR3p5,RR,190.0,-31108.0,33.7,0.828,-163.7,-0.02,-40940.0,-37.28,-0.76,3.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR3p5,RRR,191.0,-31633.0,33.5,0.826,-165.6,-0.025,-41465.0,-37.75,-0.76,3.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR4,ORIGINAL,277.0,-14480.0,31.0,0.938,-52.3,-0.075,-41290.0,-41.75,-0.35,5.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR4,R,155.0,-34500.0,32.3,0.781,-222.6,-0.051,-39615.0,-37.69,-0.87,2.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR4,RR,189.0,-30250.0,33.3,0.833,-160.1,-0.009,-37315.0,-34.85,-0.81,3.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR4,RRR,190.0,-30775.0,33.2,0.831,-162.0,-0.014,-37840.0,-35.34,-0.81,3.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR4p5,ORIGINAL,277.0,-9566.0,31.0,0.959,-34.5,-0.064,-39726.0,-40.17,-0.24,5.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR4p5,R,155.0,-33433.0,31.6,0.788,-215.7,-0.051,-41177.0,-39.17,-0.81,2.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR4p5,RR,189.0,-29492.0,32.8,0.838,-156.0,-0.009,-35877.0,-33.72,-0.82,2.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR4p5,RRR,190.0,-30017.0,32.6,0.835,-158.0,-0.014,-36402.0,-34.22,-0.82,2.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR5,ORIGINAL,277.0,-14320.0,30.7,0.939,-51.7,-0.085,-45275.0,-45.78,-0.32,4.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR5,R,155.0,-30515.0,31.6,0.807,-196.9,-0.033,-41775.0,-39.74,-0.73,2.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR5,RR,189.0,-28010.0,32.8,0.846,-148.2,-0.003,-34395.0,-32.33,-0.81,2.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR5,RRR,190.0,-28535.0,32.6,0.843,-150.2,-0.008,-34920.0,-32.82,-0.82,2.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR1,ORIGINAL,197.0,-8160.0,44.2,0.938,-41.4,-0.111,-19115.0,-19.01,-0.43,4.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR1,R,105.0,-2975.0,56.2,0.963,-28.3,0.111,-15260.0,-14.17,-0.19,3.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR1,RR,166.0,7890.0,57.2,1.073,47.5,0.132,-15710.0,-14.07,0.5,4.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR1,RRR,189.0,4115.0,56.1,1.034,21.8,0.115,-16300.0,-14.46,0.25,4.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR1p5,ORIGINAL,190.0,-23927.0,34.2,0.838,-125.9,-0.176,-33242.0,-33.61,-0.72,3.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR1p5,R,105.0,12836.0,50.5,1.152,122.2,0.207,-11270.0,-9.3,1.14,4.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR1p5,RR,153.0,20281.0,51.6,1.182,132.6,0.21,-13005.0,-10.78,1.56,5.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR1p5,RRR,170.0,22904.0,51.8,1.193,134.7,0.201,-13005.0,-10.13,1.76,5.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR2,ORIGINAL,189.0,-22400.0,30.7,0.854,-118.5,-0.195,-32770.0,-33.13,-0.68,3.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR2,R,105.0,5225.0,41.9,1.057,49.8,0.096,-14020.0,-12.15,0.37,3.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR2,RR,138.0,10545.0,43.5,1.095,76.4,0.156,-14375.0,-11.51,0.73,4.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR2,RRR,147.0,19025.0,44.9,1.168,129.4,0.18,-13385.0,-10.11,1.42,4.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR2p5,ORIGINAL,189.0,-14817.0,30.2,0.904,-78.4,-0.172,-28695.0,-29.01,-0.52,3.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR2p5,R,105.0,-10140.0,37.1,0.897,-96.6,-0.006,-22336.0,-19.91,-0.45,3.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR2p5,RR,129.0,-3673.0,39.5,0.968,-28.5,0.082,-18858.0,-16.43,-0.19,4.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR2p5,RRR,134.0,-1003.0,40.3,0.991,-7.5,0.081,-18558.0,-15.84,-0.05,4.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR3,ORIGINAL,187.0,-14765.0,29.4,0.904,-79.0,-0.156,-28695.0,-29.01,-0.51,4.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR3,R,105.0,-5810.0,36.2,0.942,-55.3,0.023,-21795.0,-18.79,-0.27,4.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR3,RR,127.0,-5225.0,37.0,0.955,-41.1,0.055,-26500.0,-22.0,-0.2,5.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR3,RRR,128.0,-5750.0,36.7,0.95,-44.9,0.046,-27025.0,-22.44,-0.21,4.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR3p5,ORIGINAL,187.0,-11184.0,28.9,0.927,-59.8,-0.156,-28695.0,-29.01,-0.39,4.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR3p5,R,105.0,-10457.0,34.3,0.897,-99.6,-0.035,-25352.0,-22.07,-0.41,3.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR3p5,RR,124.0,-9369.0,35.5,0.918,-75.6,0.009,-29487.0,-24.81,-0.32,5.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR3p5,RRR,125.0,-9894.0,35.2,0.913,-79.2,0.001,-30012.0,-25.25,-0.33,5.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR4,ORIGINAL,187.0,-2760.0,28.9,0.982,-14.8,-0.118,-28695.0,-29.01,-0.1,4.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR4,R,105.0,-13020.0,34.3,0.871,-124.0,-0.05,-26660.0,-23.46,-0.49,3.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR4,RR,123.0,-11705.0,35.0,0.897,-95.2,-0.002,-30915.0,-26.33,-0.38,5.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR4,RRR,124.0,-12230.0,34.7,0.893,-98.6,-0.01,-31320.0,-26.67,-0.39,5.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR4p5,ORIGINAL,187.0,-706.0,28.9,0.995,-3.8,-0.117,-28695.0,-29.01,-0.02,5.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR4p5,R,105.0,-13406.0,33.3,0.868,-127.7,-0.068,-28369.0,-24.68,-0.47,3.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR4p5,RR,123.0,-12683.0,34.1,0.889,-103.1,-0.021,-32852.0,-27.91,-0.39,4.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR4p5,RRR,124.0,-13208.0,33.9,0.885,-106.5,-0.029,-33029.0,-28.06,-0.4,4.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR5,ORIGINAL,187.0,-1210.0,28.9,0.992,-6.5,-0.132,-28695.0,-29.01,-0.04,5.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR5,R,105.0,-11810.0,33.3,0.884,-112.5,-0.054,-26700.0,-23.24,-0.44,3.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR5,RR,123.0,-12805.0,34.1,0.888,-104.1,-0.026,-31410.0,-26.7,-0.41,4.0,8.0
M15_LONDON_ORB60_SKIP_NEWS_RR5,RRR,124.0,-13330.0,33.9,0.884,-107.5,-0.034,-31410.0,-26.7,-0.42,4.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR1,ORIGINAL,888.0,-30130.0,48.9,0.901,-33.9,-0.022,-40745.0,-39.53,-0.74,2.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR1,R,158.0,10590.0,51.9,1.203,67.0,0.038,-6585.0,-6.44,1.61,6.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR1,RR,304.0,12395.0,52.6,1.122,40.8,0.053,-9590.0,-8.54,1.29,5.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR1,RRR,435.0,6565.0,51.3,1.044,15.1,0.027,-12985.0,-12.1,0.51,6.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR1p5,ORIGINAL,827.0,-19318.0,39.8,0.942,-23.4,-0.013,-36296.0,-34.33,-0.53,3.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR1p5,R,158.0,11137.0,42.4,1.173,70.5,0.06,-14080.0,-13.6,0.79,5.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR1p5,RR,300.0,13689.0,42.7,1.113,45.6,0.061,-17168.0,-15.45,0.8,4.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR1p5,RRR,423.0,15568.0,42.8,1.091,36.8,0.057,-19815.0,-17.62,0.79,5.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR2,ORIGINAL,790.0,-27440.0,33.2,0.921,-34.7,-0.032,-45085.0,-42.57,-0.61,3.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR2,R,158.0,9200.0,33.5,1.125,58.2,-0.001,-13215.0,-12.96,0.7,3.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR2,RR,294.0,1445.0,33.7,1.011,4.9,-0.003,-22720.0,-21.43,0.06,4.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR2,RRR,408.0,1185.0,34.3,1.006,2.9,0.006,-23015.0,-21.34,0.05,4.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR2p5,ORIGINAL,765.0,-36395.0,28.1,0.898,-47.6,-0.06,-54014.0,-51.16,-0.67,2.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR2p5,R,158.0,14526.0,29.7,1.187,91.9,0.031,-15256.0,-15.16,0.95,4.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR2p5,RR,288.0,-1379.0,29.2,0.99,-4.8,-0.008,-21610.0,-20.65,-0.06,4.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR2p5,RRR,389.0,-4448.0,29.3,0.977,-11.4,-0.02,-25961.0,-25.34,-0.17,5.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR3,ORIGINAL,748.0,-40340.0,24.9,0.889,-53.9,-0.071,-63345.0,-58.81,-0.64,3.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR3,R,158.0,5380.0,24.1,1.064,34.1,-0.071,-21160.0,-21.23,0.25,3.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR3,RR,284.0,-4655.0,25.7,0.969,-16.4,-0.023,-25455.0,-25.11,-0.18,5.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR3,RRR,374.0,-14045.0,25.4,0.926,-37.6,-0.062,-35985.0,-36.11,-0.39,5.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR3p5,ORIGINAL,736.0,-35425.0,22.8,0.903,-48.1,-0.069,-70209.0,-60.07,-0.5,4.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR3p5,R,158.0,12918.0,22.8,1.152,81.8,-0.032,-20344.0,-20.41,0.63,3.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR3p5,RR,283.0,8168.0,24.0,1.056,28.9,-0.005,-23545.0,-22.88,0.35,5.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR3p5,RRR,370.0,-5019.0,23.2,0.973,-13.6,-0.067,-31459.0,-31.31,-0.16,4.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR4,ORIGINAL,730.0,-33965.0,21.0,0.908,-46.5,-0.085,-71375.0,-58.03,-0.48,3.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR4,R,158.0,4355.0,18.4,1.049,27.6,-0.153,-22455.0,-22.53,0.19,4.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR4,RR,280.0,165.0,21.4,1.001,0.6,-0.053,-35555.0,-34.25,0.0,5.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR4,RRR,360.0,-15580.0,20.8,0.917,-43.3,-0.106,-48155.0,-47.48,-0.32,4.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR4p5,ORIGINAL,727.0,-22201.0,20.1,0.94,-30.5,-0.076,-75173.0,-55.33,-0.3,5.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR4p5,R,158.0,15572.0,18.4,1.174,98.6,-0.073,-22113.0,-22.13,0.7,4.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR4p5,RR,279.0,17635.0,21.9,1.121,63.2,0.029,-33245.0,-31.74,0.53,5.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR4p5,RRR,355.0,5753.0,21.1,1.031,16.2,-0.025,-42925.0,-41.94,0.13,5.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR5,ORIGINAL,723.0,-22955.0,18.9,0.939,-31.7,-0.095,-71875.0,-54.56,-0.32,4.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR5,R,158.0,10570.0,16.5,1.116,66.9,-0.142,-21880.0,-21.84,0.48,4.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR5,RR,275.0,9835.0,20.0,1.067,35.8,-0.005,-30600.0,-28.96,0.32,4.0,8.0
M1_LONDON_ORB15_INCLUDE_NEWS_RR5,RRR,350.0,465.0,19.7,1.003,1.3,-0.038,-39755.0,-38.5,0.01,5.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR1,ORIGINAL,627.0,-21935.0,49.8,0.898,-35.0,-0.006,-32305.0,-31.4,-0.68,2.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR1,R,107.0,10650.0,53.3,1.325,99.5,0.065,-5260.0,-5.22,2.02,4.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR1,RR,205.0,12190.0,52.7,1.187,59.5,0.054,-7270.0,-6.5,1.68,5.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR1,RRR,294.0,7600.0,51.0,1.077,25.9,0.023,-13130.0,-11.96,0.58,5.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR1p5,ORIGINAL,581.0,-22353.0,39.4,0.905,-38.5,-0.02,-33287.0,-31.95,-0.67,2.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR1p5,R,107.0,21895.0,45.8,1.593,204.6,0.145,-5260.0,-5.09,4.16,6.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR1p5,RR,202.0,23814.0,43.6,1.321,117.9,0.08,-6440.0,-5.49,3.7,6.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR1p5,RRR,286.0,19747.0,43.0,1.177,69.0,0.064,-10760.0,-9.71,1.84,6.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR2,ORIGINAL,553.0,-40215.0,32.4,0.836,-72.7,-0.055,-52095.0,-49.63,-0.77,2.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR2,R,107.0,22380.0,36.4,1.52,209.2,0.083,-6950.0,-5.4,3.22,3.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR2,RR,197.0,22525.0,36.5,1.27,114.3,0.076,-8065.0,-7.38,2.79,5.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR2,RRR,275.0,17060.0,35.6,1.139,62.0,0.044,-11180.0,-9.71,1.53,4.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR2p5,ORIGINAL,536.0,-50196.0,27.1,0.802,-93.6,-0.102,-62312.0,-60.01,-0.81,1.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR2p5,R,107.0,28024.0,32.7,1.608,261.9,0.129,-6095.0,-5.88,4.6,5.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR2p5,RR,195.0,23078.0,31.8,1.257,118.3,0.07,-8545.0,-7.24,2.7,5.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR2p5,RRR,265.0,22623.0,31.7,1.181,85.4,0.056,-11840.0,-10.46,1.91,6.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR3,ORIGINAL,523.0,-54685.0,24.1,0.787,-104.6,-0.109,-69440.0,-66.33,-0.79,2.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR3,R,107.0,19695.0,26.2,1.385,184.1,-0.002,-9935.0,-9.78,1.98,4.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR3,RR,191.0,18350.0,27.7,1.199,96.1,0.034,-10650.0,-10.35,1.72,4.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR3,RRR,252.0,14725.0,27.4,1.123,58.4,0.001,-15340.0,-15.0,0.96,4.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR3p5,ORIGINAL,515.0,-52124.0,22.3,0.798,-101.2,-0.098,-64560.0,-62.92,-0.81,3.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR3p5,R,107.0,24184.0,24.3,1.463,226.0,0.008,-9935.0,-9.71,2.43,5.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR3p5,RR,190.0,27583.0,25.8,1.31,145.2,0.031,-11185.0,-10.06,2.47,5.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR3p5,RRR,249.0,21496.0,24.9,1.184,86.3,-0.019,-14593.0,-14.05,1.47,4.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR4,ORIGINAL,510.0,-54950.0,20.4,0.79,-107.7,-0.118,-65665.0,-64.15,-0.84,2.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR4,R,107.0,18190.0,19.6,1.328,170.0,-0.123,-10745.0,-10.63,1.69,5.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR4,RR,188.0,21145.0,23.4,1.235,112.5,-0.016,-17155.0,-16.21,1.23,3.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR4,RRR,242.0,13430.0,22.7,1.116,55.5,-0.048,-25450.0,-24.28,0.53,4.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR4p5,ORIGINAL,508.0,-49372.0,19.5,0.812,-97.2,-0.114,-61514.0,-60.0,-0.8,2.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR4p5,R,107.0,26910.0,19.6,1.485,251.5,-0.043,-10513.0,-10.37,2.56,5.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR4p5,RR,187.0,36037.0,24.1,1.406,192.7,0.088,-16323.0,-15.29,2.21,5.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR4p5,RRR,238.0,29670.0,23.1,1.261,124.7,0.05,-23433.0,-22.16,1.27,6.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR5,ORIGINAL,504.0,-55045.0,18.1,0.791,-109.2,-0.155,-65280.0,-64.84,-0.84,3.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR5,R,107.0,22945.0,17.8,1.405,214.4,-0.117,-14070.0,-10.47,1.63,4.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR5,RR,183.0,29370.0,21.9,1.328,160.5,0.044,-15645.0,-14.52,1.88,7.0,8.0
M1_LONDON_ORB15_SKIP_NEWS_RR5,RRR,233.0,25060.0,21.5,1.22,107.6,0.034,-20840.0,-19.54,1.2,5.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR1,ORIGINAL,702.0,-25860.0,47.7,0.913,-36.8,-0.041,-39650.0,-37.69,-0.65,2.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR1,R,157.0,-19285.0,47.8,0.761,-122.8,-0.044,-25745.0,-24.93,-0.75,3.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR1,RR,295.0,-1910.0,52.2,0.986,-6.5,0.048,-21055.0,-19.28,-0.09,4.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR1,RRR,418.0,-2870.0,51.4,0.984,-6.9,0.034,-19205.0,-17.41,-0.15,2.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR1p5,ORIGINAL,644.0,-36082.0,37.7,0.889,-56.0,-0.06,-51008.0,-48.99,-0.71,2.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR1p5,R,157.0,-20803.0,37.6,0.776,-132.5,-0.054,-31381.0,-30.0,-0.66,2.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR1p5,RR,291.0,-1358.0,42.6,0.991,-4.7,0.066,-29835.0,-26.24,-0.05,5.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR1p5,RRR,398.0,9971.0,43.0,1.05,25.1,0.068,-21350.0,-19.36,0.47,4.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR2,ORIGINAL,604.0,-38385.0,31.3,0.885,-63.6,-0.092,-60865.0,-55.91,-0.63,1.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR2,R,157.0,-19365.0,31.8,0.805,-123.3,-0.058,-26530.0,-26.16,-0.73,4.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR2,RR,285.0,-13845.0,34.0,0.919,-48.6,-0.009,-26230.0,-25.11,-0.53,3.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR2,RRR,373.0,-5335.0,35.1,0.975,-14.3,0.009,-20730.0,-19.85,-0.26,4.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR2p5,ORIGINAL,584.0,-34234.0,27.6,0.899,-58.6,-0.094,-65212.0,-57.49,-0.52,2.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR2p5,R,157.0,-19379.0,28.7,0.813,-123.4,-0.028,-27486.0,-27.58,-0.71,4.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR2p5,RR,273.0,-10586.0,31.9,0.937,-38.8,0.036,-29885.0,-28.58,-0.35,5.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR2p5,RRR,344.0,-20662.0,32.3,0.9,-60.1,0.016,-41628.0,-40.57,-0.5,4.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR3,ORIGINAL,571.0,-43705.0,25.4,0.872,-76.5,-0.092,-70245.0,-65.72,-0.62,3.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR3,R,157.0,-24375.0,24.8,0.773,-155.3,-0.092,-34000.0,-34.11,-0.72,3.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR3,RR,265.0,-19320.0,27.5,0.888,-72.9,-0.018,-42525.0,-40.45,-0.45,3.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR3,RRR,331.0,-30065.0,28.1,0.855,-90.8,-0.036,-51935.0,-51.12,-0.58,4.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR3p5,ORIGINAL,568.0,-38993.0,24.1,0.887,-68.6,-0.087,-68901.0,-62.34,-0.57,4.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR3p5,R,157.0,-34135.0,21.7,0.693,-217.4,-0.164,-45928.0,-46.08,-0.74,3.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR3p5,RR,262.0,-28928.0,24.8,0.834,-110.4,-0.071,-52448.0,-51.17,-0.55,3.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR3p5,RRR,320.0,-36086.0,25.6,0.824,-112.8,-0.073,-58975.0,-58.21,-0.61,2.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR4,ORIGINAL,564.0,-31880.0,23.4,0.907,-56.5,-0.069,-66850.0,-60.2,-0.48,4.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR4,R,157.0,-28290.0,21.7,0.745,-180.2,-0.104,-44605.0,-44.75,-0.63,3.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR4,RR,259.0,-11390.0,26.6,0.933,-44.0,0.044,-44285.0,-42.85,-0.26,5.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR4,RRR,310.0,-19650.0,26.5,0.9,-63.4,0.006,-51270.0,-49.85,-0.38,3.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR4p5,ORIGINAL,560.0,-34154.0,22.5,0.901,-61.0,-0.065,-67497.0,-64.19,-0.51,3.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR4p5,R,157.0,-22903.0,21.7,0.794,-145.9,-0.058,-41585.0,-41.72,-0.55,4.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR4p5,RR,257.0,-3410.0,26.5,0.98,-13.3,0.094,-39188.0,-37.61,-0.09,5.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR4p5,RRR,306.0,-11347.0,26.1,0.942,-37.1,0.05,-46853.0,-45.18,-0.24,3.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR5,ORIGINAL,558.0,-35165.0,21.5,0.898,-63.0,-0.089,-61565.0,-61.15,-0.57,4.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR5,R,157.0,-25245.0,21.0,0.774,-160.8,-0.077,-47855.0,-48.02,-0.53,4.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR5,RR,253.0,-7025.0,25.3,0.958,-27.8,0.079,-47425.0,-46.24,-0.15,5.0,8.0
M1_LONDON_ORB30_INCLUDE_NEWS_RR5,RRR,302.0,-15755.0,25.2,0.919,-52.2,0.035,-54350.0,-53.33,-0.29,3.0,8.0
M1_LONDON_ORB30_SKIP_NEWS_RR1,ORIGINAL,500.0,-35700.0,46.8,0.838,-71.4,-0.061,-45585.0,-44.13,-0.78,2.0,8.0
M1_LONDON_ORB30_SKIP_NEWS_RR1,R,106.0,-6630.0,50.0,0.866,-62.5,0.0,-17545.0,-16.32,-0.38,3.0,8.0
M1_LONDON_ORB30_SKIP_NEWS_RR1,RR,200.0,3710.0,52.5,1.044,18.6,0.051,-15350.0,-13.94,0.24,4.0,8.0
M1_LONDON_ORB30_SKIP_NEWS_RR1,RRR,285.0,10370.0,53.0,1.09,36.4,0.066,-16965.0,-14.41,0.61,5.0,8.0
M1_LONDON_ORB30_SKIP_NEWS_RR1p5,ORIGINAL,460.0,-46397.0,36.7,0.804,-100.9,-0.078,-57001.0,-55.49,-0.81,2.0,8.0
M1_LONDON_ORB30_SKIP_NEWS_RR1p5,R,106.0,-2780.0,41.5,0.951,-26.2,0.038,-14654.0,-13.69,-0.19,4.0,8.0
