,net_profit,net_profit,net_profit,net_profit,trades,trades,trades,trades,win_rate,win_rate,win_rate,win_rate,profit_factor,profit_factor,profit_factor,profit_factor,max_dd_pct,max_dd_pct,max_dd_pct,max_dd_pct
variant,ORIGINAL,R,RR,RRR,ORIGINAL,R,RR,RRR,ORIGINAL,R,RR,RRR,ORIGINAL,R,RR,RRR,ORIGINAL,R,RR,RRR
config,,,,,,,,,,,,,,,,,,,,
M15_LONDON_ORB30_INCLUDE_NEWS_RR4p5,-13919.0,-34613.0,-36764.0,-32566.0,325.0,157.0,211.0,217.0,27.08,24.84,27.49,27.65,0.942,0.759,0.795,0.821,40.75,39.12,44.0,42.24
M15_LONDON_ORB30_INCLUDE_NEWS_RR5,-2855.0,-30360.0,-34180.0,-29550.0,325.0,157.0,211.0,217.0,27.08,24.84,27.49,27.65,0.988,0.788,0.809,0.837,37.1,38.0,42.55,41.25
M15_LONDON_ORB30_SKIP_NEWS_RR1,-19600.0,-6530.0,11565.0,13815.0,241.0,106.0,183.0,225.0,44.81,53.77,55.19,54.67,0.862,0.905,1.117,1.118,39.28,20.4,15.93,16.61
M15_LONDON_ORB30_SKIP_NEWS_RR1p5,-36303.0,6656.0,18631.0,27180.0,236.0,106.0,172.0,199.0,35.17,47.17,47.09,48.24,0.774,1.089,1.176,1.237,49.03,15.66,14.33,13.69
M15_LONDON_ORB30_SKIP_NEWS_RR2,-44335.0,5550.0,11750.0,19475.0,231.0,106.0,159.0,174.0,29.44,39.62,40.88,41.95,0.739,1.068,1.107,1.168,53.59,16.24,14.27,12.93
M15_LONDON_ORB30_SKIP_NEWS_RR2p5,-35154.0,-1688.0,-54.0,5886.0,231.0,106.0,152.0,161.0,27.27,33.96,35.53,36.65,0.797,0.981,1.0,1.051,49.14,16.57,17.85,17.8
M15_LONDON_ORB30_SKIP_NEWS_RR3,-54405.0,-14410.0,-14765.0,-12035.0,230.0,106.0,148.0,154.0,24.35,29.25,31.76,31.82,0.695,0.843,0.874,0.899,65.03,20.7,24.71,24.88
M15_LONDON_ORB30_SKIP_NEWS_RR3p5,-46790.0,-7135.0,-7311.0,-4148.0,229.0,106.0,146.0,152.0,24.02,29.25,31.51,31.58,0.737,0.922,0.937,0.965,58.69,18.8,22.15,23.18
M15_LONDON_ORB30_SKIP_NEWS_RR4,-38310.0,-10500.0,-7260.0,-3665.0,229.0,106.0,142.0,148.0,24.02,28.3,30.99,31.08,0.785,0.887,0.937,0.969,50.93,20.77,24.19,25.03
M15_LONDON_ORB30_SKIP_NEWS_RR4p5,-33954.0,-15813.0,-14897.0,-10289.0,229.0,106.0,141.0,146.0,24.02,26.42,29.08,29.45,0.809,0.831,0.871,0.912,47.38,26.22,30.34,25.7
