,net_profit,net_profit,net_profit,net_profit,trades,trades,trades,trades,win_rate,win_rate,win_rate,win_rate,profit_factor,profit_factor,profit_factor,profit_factor,max_dd_pct,max_dd_pct,max_dd_pct,max_dd_pct
variant,ORIGINAL,R,RR,RRR,ORIGINAL,R,RR,RRR,ORIGINAL,R,RR,RRR,ORIGINAL,R,RR,RRR,ORIGINAL,R,RR,RRR
config,,,,,,,,,,,,,,,,,,,,
M5_LONDON_ORB15_INCLUDE_NEWS_RR2p5,-49641.0,24099.0,33068.0,31356.0,567.0,159.0,273.0,332.0,26.28,33.96,35.53,35.54,0.844,1.264,1.22,1.172,65.99,17.51,20.72,22.77
M5_LONDON_ORB15_INCLUDE_NEWS_RR3,-61210.0,24030.0,35820.0,29590.0,563.0,159.0,266.0,316.0,23.62,30.82,33.08,32.28,0.812,1.251,1.234,1.165,79.09,16.6,21.29,23.83
M5_LONDON_ORB15_INCLUDE_NEWS_RR3p5,-72915.0,5470.0,9128.0,4181.0,557.0,159.0,259.0,302.0,21.01,26.42,28.19,28.15,0.779,1.053,1.059,1.023,86.29,24.6,27.84,26.2
M5_LONDON_ORB15_INCLUDE_NEWS_RR4,-69175.0,4550.0,9650.0,1360.0,556.0,159.0,257.0,299.0,20.32,23.27,25.29,25.75,0.792,1.043,1.061,1.008,83.04,24.55,28.53,29.3
M5_LONDON_ORB15_INCLUDE_NEWS_RR4p5,-69517.0,12984.0,16370.0,6608.0,556.0,159.0,255.0,297.0,19.78,22.64,24.71,25.25,0.792,1.123,1.104,1.037,84.35,21.91,24.42,28.08
M5_LONDON_ORB15_INCLUDE_NEWS_RR5,-67480.0,19285.0,22270.0,13165.0,554.0,159.0,255.0,297.0,18.95,22.01,23.92,24.58,0.799,1.182,1.141,1.073,83.18,20.51,23.45,26.83
M5_LONDON_ORB15_SKIP_NEWS_RR1,-38225.0,17300.0,22930.0,19470.0,436.0,107.0,202.0,278.0,45.87,58.88,56.93,55.04,0.804,1.485,1.311,1.179,45.82,5.33,6.04,13.08
M5_LONDON_ORB15_SKIP_NEWS_RR1p5,-48109.0,34392.0,40349.0,47453.0,418.0,107.0,199.0,263.0,35.89,51.4,48.24,47.15,0.777,1.873,1.475,1.41,60.19,4.45,6.66,9.82
M5_LONDON_ORB15_SKIP_NEWS_RR2,-66475.0,40145.0,53155.0,50210.0,406.0,107.0,189.0,240.0,28.33,43.93,42.33,40.42,0.711,1.889,1.619,1.432,75.17,4.61,5.74,8.74
M5_LONDON_ORB15_SKIP_NEWS_RR2p5,-61713.0,37249.0,45938.0,46710.0,402.0,107.0,182.0,226.0,24.63,36.45,36.26,36.28,0.739,1.738,1.508,1.409,70.0,4.53,7.83,9.85
M5_LONDON_ORB15_SKIP_NEWS_RR3,-69170.0,36670.0,44540.0,41865.0,399.0,107.0,178.0,217.0,22.56,33.64,33.71,32.72,0.712,1.685,1.474,1.369,80.8,6.07,9.93,13.9
M5_LONDON_ORB15_SKIP_NEWS_RR3p5,-75540.0,19961.0,15981.0,14364.0,395.0,107.0,173.0,205.0,20.25,28.97,27.17,27.32,0.689,1.34,1.167,1.128,81.13,9.62,15.02,14.81
M5_LONDON_ORB15_SKIP_NEWS_RR4,-67980.0,15215.0,10295.0,5110.0,395.0,107.0,171.0,202.0,20.0,24.3,22.81,23.76,0.721,1.247,1.104,1.044,74.51,9.71,16.98,19.21
M5_LONDON_ORB15_SKIP_NEWS_RR4p5,-71169.0,19819.0,10799.0,3917.0,395.0,107.0,169.0,200.0,19.24,23.36,21.89,23.0,0.71,1.32,1.11,1.034,77.86,9.57,15.71,20.07
M5_LONDON_ORB15_SKIP_NEWS_RR5,-70050.0,27695.0,20220.0,13770.0,394.0,107.0,169.0,200.0,18.27,23.36,21.89,23.0,0.716,1.447,1.207,1.12,78.08,9.43,15.45,19.8
M5_LONDON_ORB30_INCLUDE_NEWS_RR1,-13075.0,-22510.0,-5700.0,-4230.0,508.0,158.0,289.0,387.0,46.85,49.37,52.6,52.2,0.949,0.768,0.963,0.979,34.02,28.23,23.05,26.76
M5_LONDON_ORB30_INCLUDE_NEWS_RR1p5,-15923.0,-15119.0,-1428.0,-4883.0,482.0,158.0,283.0,353.0,37.14,40.51,42.76,42.49,0.944,0.861,0.992,0.977,39.83,26.31,22.06,34.06
M5_LONDON_ORB30_INCLUDE_NEWS_RR2,-49770.0,-18710.0,-19735.0,-10890.0,465.0,158.0,271.0,319.0,30.97,34.18,36.16,37.3,0.832,0.842,0.894,0.948,66.42,25.9,31.41,35.54
M5_LONDON_ORB30_INCLUDE_NEWS_RR2p5,-49261.0,-23961.0,-17799.0,-14215.0,461.0,158.0,259.0,300.0,27.98,29.11,32.43,34.0,0.838,0.809,0.904,0.932,68.19,26.05,25.25,26.51
M5_LONDON_ORB30_INCLUDE_NEWS_RR3,-48650.0,-31005.0,-29895.0,-31050.0,455.0,158.0,254.0,284.0,26.59,25.32,28.35,28.87,0.841,0.762,0.843,0.849,71.44,31.88,33.98,35.82
M5_LONDON_ORB30_INCLUDE_NEWS_RR3p5,-47952.0,-32467.0,-25584.0,-25298.0,451.0,158.0,250.0,277.0,25.28,24.05,27.6,28.16,0.844,0.753,0.865,0.875,68.15,35.06,31.88,31.8
M5_LONDON_ORB30_INCLUDE_NEWS_RR4,-47400.0,-35110.0,-27510.0,-25385.0,450.0,158.0,247.0,271.0,24.89,22.78,26.72,27.68,0.846,0.737,0.854,0.873,67.73,36.7,34.55,31.94
M5_LONDON_ORB30_INCLUDE_NEWS_RR4p5,-51125.0,-36253.0,-32224.0,-29496.0,449.0,158.0,243.0,267.0,24.05,22.15,25.51,26.59,0.835,0.729,0.829,0.852,73.72,38.72,38.89,35.78
M5_LONDON_ORB30_INCLUDE_NEWS_RR5,-43370.0,-33695.0,-27180.0,-23850.0,449.0,158.0,243.0,267.0,23.61,22.15,25.51,26.59,0.86,0.748,0.855,0.881,69.11,38.99,37.7,34.05
M5_LONDON_ORB30_SKIP_NEWS_RR1,-30255.0,-6565.0,6890.0,9560.0,360.0,106.0,194.0,264.0,45.83,50.94,53.61,53.03,0.842,0.886,1.071,1.074,44.03,14.88,15.28,16.64
M5_LONDON_ORB30_SKIP_NEWS_RR1p5,-50222.0,2912.0,17294.0,16070.0,342.0,106.0,191.0,243.0,35.09,44.34,45.55,44.44,0.764,1.046,1.16,1.119,64.52,12.41,13.77,15.93
M5_LONDON_ORB30_SKIP_NEWS_RR2,-68195.0,6865.0,5555.0,13295.0,328.0,106.0,184.0,222.0,28.05,38.68,38.04,38.74,0.695,1.099,1.047,1.098,78.53,13.35,17.52,16.76
M5_LONDON_ORB30_SKIP_NEWS_RR2p5,-55123.0,1469.0,10636.0,14507.0,327.0,106.0,175.0,208.0,26.3,33.02,34.29,36.06,0.757,1.02,1.092,1.108,67.47,12.81,14.41,14.89
M5_LONDON_ORB30_SKIP_NEWS_RR3,-58380.0,-7995.0,-30.0,-2915.0,322.0,106.0,172.0,196.0,24.84,28.3,30.23,30.1,0.743,0.899,1.0,0.978,71.71,18.16,15.61,17.1
M5_LONDON_ORB30_SKIP_NEWS_RR3p5,-56143.0,-10522.0,1743.0,-39.0,319.0,106.0,169.0,190.0,23.51,27.36,29.59,29.47,0.754,0.868,1.015,1.0,67.81,19.3,15.94,17.32
M5_LONDON_ORB30_SKIP_NEWS_RR4,-58650.0,-15100.0,-2625.0,-1765.0,319.0,106.0,166.0,184.0,23.2,25.47,28.31,28.8,0.744,0.815,0.978,0.986,70.19,23.41,18.15,18.32
M5_LONDON_ORB30_SKIP_NEWS_RR4p5,-58194.0,-18938.0,-10542.0,-9079.0,319.0,106.0,162.0,180.0,22.57,24.53,26.54,27.22,0.747,0.768,0.91,0.928,71.22,28.07,23.42,21.17
M5_LONDON_ORB30_SKIP_NEWS_RR5,-52930.0,-19075.0,-8700.0,-6635.0,319.0,106.0,162.0,180.0,21.94,24.53,26.54,27.22,0.771,0.767,0.926,0.948,67.45,27.68,22.3,19.81
M5_LONDON_ORB60_INCLUDE_NEWS_RR1,-17595.0,-16610.0,13530.0,5190.0,383.0,157.0,270.0,335.0,44.65,52.87,55.93,54.33,0.928,0.856,1.08,1.025,37.93,30.69,17.75,20.82
M5_LONDON_ORB60_INCLUDE_NEWS_RR1p5,-42094.0,-6674.0,853.0,-11889.0,359.0,157.0,254.0,298.0,35.38,45.22,45.28,44.63,0.844,0.947,1.005,0.945,59.89,24.9,17.86,27.57
M5_LONDON_ORB60_INCLUDE_NEWS_RR2,-62765.0,-22805.0,-23635.0,-16790.0,351.0,157.0,237.0,262.0,30.2,36.94,37.55,39.31,0.777,0.834,0.879,0.919,77.84,35.05,33.82,35.67
M5_LONDON_ORB60_INCLUDE_NEWS_RR2p5,-52983.0,-46054.0,-42022.0,-41944.0,349.0,157.0,223.0,239.0,28.65,30.57,34.08,34.73,0.813,0.688,0.786,0.795,71.65,49.87,47.72,47.4
M5_LONDON_ORB60_INCLUDE_NEWS_RR3,-45140.0,-52005.0,-48030.0,-51770.0,349.0,157.0,218.0,227.0,28.37,28.03,31.19,31.72,0.841,0.658,0.758,0.745,65.67,55.82,53.46,57.0
M5_LONDON_ORB60_INCLUDE_NEWS_RR3p5,-42241.0,-49178.0,-47220.0,-49825.0,346.0,157.0,216.0,221.0,27.75,27.39,30.56,30.32,0.851,0.677,0.761,0.752,60.33,53.7,52.82,55.29
M5_LONDON_ORB60_INCLUDE_NEWS_RR4,-42380.0,-51360.0,-48930.0,-51300.0,346.0,157.0,214.0,218.0,27.75,26.11,29.44,29.36,0.851,0.667,0.753,0.745,63.48,56.09,54.9,57.14
M5_LONDON_ORB60_INCLUDE_NEWS_RR4p5,-37709.0,-58002.0,-59779.0,-62149.0,346.0,157.0,211.0,215.0,27.46,25.48,28.44,28.37,0.867,0.624,0.697,0.689,57.42,60.99,62.9,65.19
M5_LONDON_ORB60_INCLUDE_NEWS_RR5,-39130.0,-54575.0,-55650.0,-58020.0,346.0,157.0,211.0,215.0,27.17,25.48,28.44,28.37,0.863,0.647,0.718,0.71,62.4,57.66,58.92,61.2
M5_LONDON_ORB60_SKIP_NEWS_RR1,-22075.0,390.0,14350.0,7465.0,257.0,105.0,179.0,220.0,43.58,56.19,56.42,54.55,0.865,1.006,1.135,1.058,32.04,12.74,14.59,17.3
M5_LONDON_ORB60_SKIP_NEWS_RR1p5,-28036.0,10919.0,10764.0,4884.0,243.0,105.0,168.0,197.0,34.57,48.57,46.43,46.19,0.841,1.147,1.093,1.036,40.51,11.43,14.23,16.71
M5_LONDON_ORB60_SKIP_NEWS_RR2,-44780.0,1825.0,-2780.0,5260.0,236.0,105.0,158.0,176.0,28.81,40.0,39.24,41.48,0.759,1.022,0.977,1.041,56.22,14.72,18.48,19.04
M5_LONDON_ORB60_SKIP_NEWS_RR2p5,-35915.0,-13834.0,-13845.0,-8992.0,236.0,105.0,149.0,161.0,27.54,34.29,36.91,38.51,0.809,0.845,0.886,0.928,48.87,19.69,22.34,21.1
M5_LONDON_ORB60_SKIP_NEWS_RR3,-31910.0,-20505.0,-18915.0,-18970.0,236.0,105.0,145.0,151.0,27.12,31.43,33.79,35.1,0.831,0.78,0.847,0.847,44.65,27.14,28.93,28.8
M5_LONDON_ORB60_SKIP_NEWS_RR3p5,-25903.0,-19877.0,-21902.0,-22167.0,234.0,105.0,144.0,147.0,26.5,30.48,32.64,32.65,0.862,0.788,0.823,0.822,43.12,24.89,29.43,29.3
M5_LONDON_ORB60_SKIP_NEWS_RR4,-27995.0,-23030.0,-25290.0,-25320.0,234.0,105.0,142.0,144.0,26.5,28.57,30.99,31.25,0.851,0.758,0.796,0.797,42.42,28.9,32.98,33.01
M5_LONDON_ORB60_SKIP_NEWS_RR4p5,-25974.0,-29377.0,-34007.0,-34037.0,234.0,105.0,139.0,141.0,26.07,27.62,29.5,29.79,0.862,0.693,0.725,0.725,42.13,34.41,40.3,40.33
M5_LONDON_ORB60_SKIP_NEWS_RR5,-21595.0,-27255.0,-31465.0,-31495.0,234.0,105.0,139.0,141.0,26.07,27.62,29.5,29.79,0.886,0.715,0.745,0.746,42.13,32.87,38.6,38.63
