config,variant,trades,win_rate,net_profit,profit_factor,max_dd_money,max_dd_pct,expectancy,avg_r
M15_LONDON_ORB15_SKIP_NEWS_RR2,RRR,196,47.45,43300.0,1.41,11970.0,9.89,220.92,0.304
M15_LONDON_ORB15_SKIP_NEWS_RR2p5,ORIGINAL,273,23.08,-65368.0,0.657,71935.0,71.93,-239.44,-0.288
M15_LONDON_ORB15_SKIP_NEWS_RR2p5,R,107,39.25,13882.0,1.186,19943.0,17.13,129.74,0.31
M15_LONDON_ORB15_SKIP_NEWS_RR2p5,RR,166,43.37,38047.0,1.387,14907.0,12.41,229.2,0.351
M15_LONDON_ORB15_SKIP_NEWS_RR2p5,RRR,179,43.02,38137.0,1.364,12629.0,10.52,213.06,0.323
M15_LONDON_ORB15_SKIP_NEWS_RR3,ORIGINAL,272,21.69,-60165.0,0.687,65765.0,65.76,-221.19,-0.286
M15_LONDON_ORB15_SKIP_NEWS_RR3,R,107,36.45,6180.0,1.08,19625.0,18.1,57.76,0.285
M15_LONDON_ORB15_SKIP_NEWS_RR3,RR,159,41.51,30980.0,1.31,16455.0,14.41,194.84,0.381
M15_LONDON_ORB15_SKIP_NEWS_RR3,RRR,170,41.76,36450.0,1.349,13500.0,11.83,214.41,0.398
M15_LONDON_ORB15_SKIP_NEWS_RR3p5,ORIGINAL,269,19.7,-69214.0,0.643,75935.0,75.93,-257.3,-0.317
M15_LONDON_ORB15_SKIP_NEWS_RR3p5,R,107,35.51,11338.0,1.145,19895.0,18.26,105.96,0.354
M15_LONDON_ORB15_SKIP_NEWS_RR3p5,RR,154,38.31,30320.0,1.3,18200.0,15.95,196.88,0.369
M15_LONDON_ORB15_SKIP_NEWS_RR3p5,RRR,163,38.65,35188.0,1.336,16135.0,14.21,215.88,0.377
M15_LONDON_ORB15_SKIP_NEWS_RR4,ORIGINAL,269,18.96,-73545.0,0.624,80015.0,80.01,-273.4,-0.321
M15_LONDON_ORB15_SKIP_NEWS_RR4,R,107,31.78,8150.0,1.101,19460.0,18.22,76.17,0.291
M15_LONDON_ORB15_SKIP_NEWS_RR4,RR,151,36.42,29990.0,1.298,19125.0,16.77,198.61,0.363
M15_LONDON_ORB15_SKIP_NEWS_RR4,RRR,159,36.48,32145.0,1.308,17060.0,15.03,202.17,0.352
M15_LONDON_ORB15_SKIP_NEWS_RR4p5,ORIGINAL,269,18.96,-66305.0,0.661,72681.0,72.68,-246.49,-0.286
M15_LONDON_ORB15_SKIP_NEWS_RR4p5,R,107,29.91,694.0,1.009,21124.0,19.55,6.49,0.21
M15_LONDON_ORB15_SKIP_NEWS_RR4p5,RR,149,34.23,17134.0,1.17,19700.0,17.13,114.99,0.257
M15_LONDON_ORB15_SKIP_NEWS_RR4p5,RRR,155,34.84,20459.0,1.197,17635.0,15.4,131.99,0.267
M15_LONDON_ORB15_SKIP_NEWS_RR5,ORIGINAL,269,18.96,-59800.0,0.695,65425.0,65.42,-222.3,-0.256
M15_LONDON_ORB15_SKIP_NEWS_RR5,R,107,28.97,2005.0,1.024,20080.0,18.37,18.74,0.205
M15_LONDON_ORB15_SKIP_NEWS_RR5,RR,148,32.43,16005.0,1.157,19700.0,16.77,108.14,0.211
M15_LONDON_ORB15_SKIP_NEWS_RR5,RRR,154,33.12,19330.0,1.185,17635.0,15.07,125.52,0.223
M15_LONDON_ORB30_INCLUDE_NEWS_RR1,ORIGINAL,340,47.65,3300.0,1.018,31405.0,28.33,9.71,-0.037
M15_LONDON_ORB30_INCLUDE_NEWS_RR1,R,157,50.32,-25510.0,0.767,39475.0,35.48,-162.48,-0.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR1,RR,268,51.49,-12095.0,0.925,31715.0,27.57,-45.13,0.024
M15_LONDON_ORB30_INCLUDE_NEWS_RR1,RRR,322,51.86,-8770.0,0.953,35230.0,29.84,-27.24,0.028
M15_LONDON_ORB30_INCLUDE_NEWS_RR1p5,ORIGINAL,334,38.32,-2546.0,0.988,39933.0,32.15,-7.62,-0.063
M15_LONDON_ORB30_INCLUDE_NEWS_RR1p5,R,157,41.4,-17018.0,0.86,38498.0,34.13,-108.39,0.017
M15_LONDON_ORB30_INCLUDE_NEWS_RR1p5,RR,254,42.13,-11727.0,0.933,33936.0,28.46,-46.17,0.013
M15_LONDON_ORB30_INCLUDE_NEWS_RR1p5,RRR,285,43.86,-1890.0,0.99,30786.0,25.38,-6.63,0.042
M15_LONDON_ORB30_INCLUDE_NEWS_RR2,ORIGINAL,328,33.23,-12300.0,0.946,46055.0,38.34,-37.5,-0.079
M15_LONDON_ORB30_INCLUDE_NEWS_RR2,R,157,35.03,-20555.0,0.843,35020.0,33.91,-130.92,-0.013
M15_LONDON_ORB30_INCLUDE_NEWS_RR2,RR,236,37.29,-17055.0,0.903,35220.0,33.41,-72.27,0.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR2,RRR,254,38.19,-10885.0,0.941,31280.0,29.25,-42.85,0.023
M15_LONDON_ORB30_INCLUDE_NEWS_RR2p5,ORIGINAL,328,30.18,-6078.0,0.974,54834.0,41.17,-18.53,-0.08
M15_LONDON_ORB30_INCLUDE_NEWS_RR2p5,R,157,29.94,-28445.0,0.793,35301.0,34.6,-181.18,-0.071
M15_LONDON_ORB30_INCLUDE_NEWS_RR2p5,RR,223,32.29,-30966.0,0.826,39498.0,37.5,-138.86,-0.048
M15_LONDON_ORB30_INCLUDE_NEWS_RR2p5,RRR,235,32.77,-27811.0,0.848,39778.0,37.09,-118.34,-0.033
M15_LONDON_ORB30_INCLUDE_NEWS_RR3,ORIGINAL,326,27.61,-39605.0,0.835,56100.0,56.1,-121.49,-0.116
M15_LONDON_ORB30_INCLUDE_NEWS_RR3,R,157,26.75,-39010.0,0.725,41665.0,41.67,-248.47,-0.143
M15_LONDON_ORB30_INCLUDE_NEWS_RR3,RR,218,29.36,-44045.0,0.757,50430.0,49.37,-202.04,-0.116
M15_LONDON_ORB30_INCLUDE_NEWS_RR3,RRR,225,29.33,-41725.0,0.774,48110.0,47.1,-185.44,-0.106
M15_LONDON_ORB30_INCLUDE_NEWS_RR3p5,ORIGINAL,325,27.08,-33108.0,0.862,51788.0,51.79,-101.87,-0.096
M15_LONDON_ORB30_INCLUDE_NEWS_RR3p5,R,157,26.75,-28610.0,0.798,37913.0,37.91,-182.23,-0.071
M15_LONDON_ORB30_INCLUDE_NEWS_RR3p5,RR,216,29.17,-32928.0,0.818,41643.0,40.59,-152.44,-0.057
M15_LONDON_ORB30_INCLUDE_NEWS_RR3p5,RRR,223,29.15,-30175.0,0.835,42783.0,41.7,-135.31,-0.046
M15_LONDON_ORB30_INCLUDE_NEWS_RR4,ORIGINAL,325,27.08,-19310.0,0.92,44935.0,42.24,-59.42,-0.046
M15_LONDON_ORB30_INCLUDE_NEWS_RR4,R,157,26.11,-28850.0,0.798,36955.0,36.96,-183.76,-0.071
M15_LONDON_ORB30_INCLUDE_NEWS_RR4,RR,212,28.77,-29215.0,0.837,42015.0,40.77,-137.81,-0.034
M15_LONDON_ORB30_INCLUDE_NEWS_RR4,RRR,219,28.77,-26030.0,0.857,43155.0,41.88,-118.86,-0.022
M15_LONDON_ORB30_INCLUDE_NEWS_RR4p5,ORIGINAL,325,27.08,-13919.0,0.942,44276.0,40.75,-42.83,-0.028
M15_LONDON_ORB30_INCLUDE_NEWS_RR4p5,R,157,24.84,-34613.0,0.759,39118.0,39.12,-220.46,-0.127
M15_LONDON_ORB30_INCLUDE_NEWS_RR4p5,RR,211,27.49,-36764.0,0.795,45542.0,44.0,-174.24,-0.077
M15_LONDON_ORB30_INCLUDE_NEWS_RR4p5,RRR,217,27.65,-32566.0,0.821,43720.0,42.24,-150.07,-0.057
M15_LONDON_ORB30_INCLUDE_NEWS_RR5,ORIGINAL,325,27.08,-2855.0,0.988,42555.0,37.1,-8.78,0.01
M15_LONDON_ORB30_INCLUDE_NEWS_RR5,R,157,24.84,-30360.0,0.788,37995.0,38.0,-193.38,-0.097
M15_LONDON_ORB30_INCLUDE_NEWS_RR5,RR,211,27.49,-34180.0,0.809,43645.0,42.55,-161.99,-0.063
