timeframe,session,configs,trades,net_profit,avg_net_per_config,median_profit_factor,avg_win_rate,worst_dd_pct,configs_profitable
M1,ASIA,54,29632,4391215.99999996,81318.81481481408,1.3418601771631287,34.064046722567234,23.08267487256228,54
M5,ASIA,54,21313,3883595.9999999856,71918.44444444418,1.3956018749621664,36.07697690663245,30.692040928444158,53
M15,ASIA,54,15251,2904447.9999999893,53786.07407407388,1.2845129321766162,38.95821644823855,25.09456191480152,54
M5,NEW_YORK,54,12561,1138372.9999999972,21080.98148148143,1.115010689103249,41.585459968944996,34.57151242418324,44
M15,NEW_YORK,54,10275,1117016.000000012,20685.481481481707,1.1206830894812625,42.18634351138683,30.063819342169793,41
M1,NEW_YORK,54,15015,-118723.99999998334,-2198.592592592284,0.9880554107877517,39.40132787361366,58.69812393405305,26
M15,LONDON,54,15216,-1800282.9999999683,-33338.57407407349,0.8438221612706338,29.336628577533755,84.17530117495295,2
M1,LONDON,54,27523,-2221859.9999999837,-41145.55555555526,0.8422392736829368,29.292544742697228,81.55614465458582,0
M5,LONDON,54,21219,-2553549.9999999567,-47287.96296296216,0.831455763232307,28.552512469273832,86.28939613405883,0
