session,configs,trades,net_profit,avg_net_per_config,median_profit_factor,avg_win_rate,worst_dd_pct,configs_profitable
ASIA,162,66196,11179259.999999935,69007.77777777737,1.3307058819148976,36.36641335914608,30.692040928444158,161
NEW_YORK,162,37851,2136665.000000026,13189.29012345695,1.070454942531363,41.05771045131516,58.69812393405305,111
LONDON,162,63958,-6575692.999999909,-40590.69753086363,0.8385086852247199,29.060561929834936,86.28939613405883,2
