session,risk_reward,configs,trades,net_profit,avg_net_per_config,median_profit_factor,avg_win_rate,worst_dd_pct,configs_profitable
ASIA,5.0,18,7074,1714409.9999999935,95244.99999999964,1.4426479453787522,29.855867630416064,25.09456191480152,18
ASIA,4.5,18,7092,1693367.999999994,94075.99999999967,1.4467347189988402,30.193597319013627,22.915846285701303,18
ASIA,4.0,18,7121,1575214.9999999949,87511.94444444416,1.416864263665703,30.704741087627244,23.667484553759074,18
ASIA,3.5,18,7148,1341063.9999999914,74503.55555555508,1.3538735575794878,31.775528490188734,21.324669307848364,18
ASIA,3.0,18,7197,1153909.9999999944,64106.111111110804,1.3094517576110891,33.537145073665194,27.29581387728357,18
ASIA,2.0,18,7468,1074654.999999994,59703.05555555522,1.3145417935372032,39.14847792340165,26.36805039149628,18
ASIA,1.5,18,7687,950614.9999999913,52811.94444444396,1.231524148815934,43.84416814188888,24.113905434223398,18
ASIA,2.5,18,7273,871812.999999992,48434.05555555511,1.2495678272064052,34.99302409380895,30.692040928444158,17
ASIA,1.0,18,8136,804209.9999999898,44678.33333333276,1.2283420574027186,53.24517047230438,16.710884239513927,18
NEW_YORK,5.0,18,4077,415715.00000000437,23095.27777777802,1.1059317354349174,37.817650770149946,39.93507497294783,15
NEW_YORK,4.5,18,4086,398854.00000000466,22158.555555555813,1.1045167517916048,38.09846618452387,42.68303768537527,14
NEW_YORK,4.0,18,4094,322695.00000000297,17927.500000000164,1.0662860770316698,38.295500533235284,45.26930115238137,14
NEW_YORK,3.5,18,4098,201868.0000000049,11214.88888888916,1.0371473976967764,38.41469568445395,48.61862604480917,13
NEW_YORK,2.0,18,4220,186690.00000000218,10371.666666666788,1.064090695877713,41.48735299302786,58.69812393405305,11
NEW_YORK,3.0,18,4131,179370.00000000343,9965.000000000191,1.0301605176026802,38.93221043428806,49.779909985656914,11
NEW_YORK,2.5,18,4149,172949.00000000448,9608.277777778027,1.0997640635957522,39.84347668612741,56.72830222064894,11
NEW_YORK,1.5,18,4353,135609.0000000011,7533.833333333395,1.0698595626936591,45.2690172305021,55.325189178495336,11
NEW_YORK,1.0,18,4643,122914.99999999785,6828.611111110991,1.0167049872362417,51.36102354552795,48.414397371434085,11
LONDON,1.0,18,7878,-422614.99999999435,-23478.611111110797,0.88964280579081,45.86589828422301,50.80242950965389,2
LONDON,1.5,18,7433,-640072.9999999892,-35559.61111111051,0.8392782972937609,36.106270414468845,81.55614465458582,0
LONDON,5.0,18,6844,-691779.9999999899,-38432.22222222166,0.8615186417796494,23.23681142123909,83.18265820887984,0
LONDON,4.5,18,6860,-739686.9999999879,-41093.72222222155,0.8372640589320159,23.719282231589276,84.34698024712684,0
LONDON,2.5,18,7054,-756725.9999999903,-42040.3333333328,0.8287554449884722,27.670709053062943,71.934999999999,0
LONDON,4.0,18,6875,-789614.9999999879,-43867.49999999933,0.8316188087937527,24.146492458738276,84.17530117495295,0
LONDON,3.0,18,6960,-829839.999999991,-46102.222222221724,0.832791903497673,25.926490255091267,80.7951650766685,0
LONDON,3.5,18,6897,-843196.999999991,-46844.27777777728,0.8417716804619515,24.676004390385618,86.28939613405883,0
LONDON,2.0,18,7157,-862159.999999987,-47897.77777777705,0.7952844261881313,30.19709885971612,80.11499999999894,0
