risk_reward,configs,trades,net_profit,avg_net_per_config,median_profit_factor,avg_win_rate,worst_dd_pct,configs_profitable
5.0,54,17995,1438345.000000008,26636.018518518664,1.1059317354349174,30.30344327393503,83.18265820887984,33
4.5,54,18038,1352535.0000000107,25046.94444444464,1.1045167517916048,30.67044857837559,84.34698024712684,32
4.0,54,18090,1108295.00000001,20523.981481481667,1.0662860770316698,31.048911359866935,84.17530117495295,32
3.5,54,18143,699735.0000000051,12958.055555555651,1.0371473976967764,31.622076188342767,86.28939613405883,31
1.0,54,20657,504509.99999999325,9342.777777777652,1.0174153620888378,50.157364100685115,50.80242950965389,31
3.0,54,18288,503440.00000000687,9322.96296296309,1.0227999693163925,32.79861525434818,80.7951650766685,29
1.5,54,19473,446151.00000000326,8262.055555555617,1.0395749633662752,41.739818595619944,81.55614465458582,29
2.0,54,18845,399185.00000000914,7392.314814814984,1.033209953705168,36.94430992538187,80.11499999999894,29
2.5,54,18476,288036.0000000061,5334.000000000113,1.0178412485707171,34.1690699443331,71.934999999999,28
