session,trades,wins,losses,win_rate,net_profit,profit_factor,expectancy,avg_r,total_r,max_dd_money,max_dd_pct,recovery_factor,long_net,short_net,avg_duration_min,max_consecutive_losses
asia,211,88,123,41.70616113744076,96199.99999999924,2.0100797984040155,455.9241706161098,0.2548527052098354,53.77392079927527,10674.999999999854,5.737088192615626,9.011709601873589,56724.99999999945,39474.99999999972,42.03791469194313,6
london,242,146,96,60.33057851239669,44964.00000000012,1.5654924351992772,185.8016528925625,0.2047452484786852,49.548350131841815,11287.000000000262,8.928529051141272,3.983698059714634,19648.00000000032,25315.9999999998,25.884297520661157,6
