session,risk_reward,configs,trades,net_profit,avg_net_per_config,median_profit_factor,avg_win_rate,worst_dd_pct,configs_profitable
ASIA,2.0,18,7468,1074654.999999994,59703.05555555522,1.3145417935372032,39.14847792340165,26.36805039149628,18
NEW_YORK,2.0,18,4220,186690.00000000218,10371.666666666788,1.064090695877713,41.48735299302786,58.69812393405305,11
LONDON,2.0,18,7157,-862159.999999987,-47897.77777777705,0.7952844261881313,30.19709885971612,80.11499999999894,0
