sl_range_mult,risk_reward,configs,trades,net_profit,avg_net_per_config,total_r,avg_r,median_profit_factor,avg_win_rate,worst_dd_pct,profitable
0.25,2.5,108,25207,425673.99999999854,3941.4259259259125,375.6470069018651,0.015468254650729605,1.0686819396704732,29.535856955881425,47.5800694342569,67
0.25,1.0,108,25690,376061.9999999916,3482.055555555478,313.01152674955796,0.011399058513883908,1.1094897179628198,50.52700076064858,29.302406226520418,75
0.25,1.5,108,25491,251784.00000000757,2331.3333333334035,269.4694468628272,0.010836812976154988,1.061212445450698,40.510601293269346,38.31079066489501,67
2.0,1.0,108,16610,342210.00000000466,3168.611111111154,232.39451543961917,0.012426004278593748,1.0436182535078133,50.44284791506356,74.43637041177502,58
0.25,3.0,108,25104,332277.99999999924,3076.648148148141,180.5263453802441,0.010166589816049084,1.060869217716625,26.013836769725124,53.95804002522024,64
2.0,3.0,108,15478,563820.0,5220.555555555556,144.58183077686806,0.008402748898211907,0.9849738684330107,44.321388304891904,80.51999999999936,54
1.0,1.0,108,22029,145519.99999999156,1347.4074074073292,107.47568219116613,0.004087992231992927,1.008519689092588,49.97588343082081,81.58598158598159,55
0.25,2.0,108,25342,227182.99999999467,2103.546296296247,80.01145109544642,0.0019052152992067926,1.0451248463328908,33.736202337375396,44.24991006115728,65
0.5,1.0,108,24767,63239.99999999357,585.555555555496,62.700632863274095,-0.0008110555011005452,1.0209052430484982,49.816940170773115,38.40980421461705,61
1.5,1.0,108,18786,28479.999999984633,263.7037037035614,57.91786651676542,-0.0003416054016815134,1.0234162455015277,49.64644552535501,74.7387387387391,57
2.0,2.5,108,15498,165010.0000000083,1527.870370370447,12.18867260386535,-0.00010268777134713094,0.9509765562176709,44.44586409083203,85.34999999999921,51
0.5,1.5,108,24263,75923.00000001513,702.9907407408808,-6.197448200917172,-0.004847433342287795,1.0230279607165893,40.047058320487956,74.37900000000012,58
2.0,2.0,108,15595,-105059.99999999406,-972.7777777777228,-12.777160340304238,-0.0012489236962936298,0.9760049071488366,45.02588730474164,87.8499999999992,54
0.75,1.0,108,23603,-1012.9999999736756,-9.379629629385885,-16.94155663037568,-0.006210858186794633,1.0473038762802005,49.499737708723856,76.2566581179719,57
2.0,1.5,108,15770,-171849.99999998987,-1591.20370370361,-103.1984898148236,-0.006276196020971241,0.9572419808533043,46.15119625567058,71.00542548511595,49
1.5,3.0,108,16728,-797324.9999999952,-7382.638888888845,-420.38137315113073,-0.025476095681979068,0.8993397036170365,39.95021483492728,78.97500000000012,41
1.5,1.5,108,17359,-1177247.0000000016,-10900.4351851852,-423.4403705583569,-0.023648113405823755,0.8917536429371158,43.73641360929805,81.78800000000007,41
1.5,2.5,108,16805,-1000627.9999999867,-9265.074074073951,-432.36436495319873,-0.0253408479259251,0.9001736011883918,40.53339975921249,83.5750000000002,40
1.5,2.0,108,16914,-976909.9999999901,-9045.46296296287,-473.5786365199974,-0.02750900605031626,0.8844263900561509,41.367318237421514,73.5330774216062,38
0.75,1.5,108,22555,-723130.9999999827,-6695.657407407247,-709.2162486880096,-0.03674476509741749,0.9923362306819958,39.74269120559763,74.62266187756316,53
0.75,2.0,108,21689,-885691.9999999742,-8200.851851851612,-711.8371896141936,-0.034958163494344406,0.9283586678976297,35.078059263822325,77.06399999999967,40
1.0,1.5,108,20610,-1229495.0000000014,-11384.212962962976,-737.8889871754293,-0.03589052544498026,0.9243862081383403,41.02240234014071,87.22443167869639,34
0.5,2.0,108,23809,-452689.99999999074,-4191.574074073988,-765.8287771738458,-0.035127292204803304,0.9953891715454828,33.239847292218684,75.40499999999956,54
1.0,2.0,108,19701,-1798359.9999999907,-16651.481481481394,-886.9837074129365,-0.042191106989464724,0.8912293655871089,37.16872827435205,92.33999999999973,23
0.5,2.5,108,23302,-531104.9999999912,-4917.638888888807,-914.9138780372199,-0.03896379212465084,0.9697311578035432,29.41079365530724,71.57999999999966,51
0.75,2.5,108,21083,-1539289.99999997,-14252.685185184908,-1038.0365397672158,-0.04929800194434035,0.8957060947194495,31.8238578621818,81.14899999999965,26
0.5,3.0,108,22929,-890614.999999991,-8246.435185185102,-1127.4634612967054,-0.04785107407659513,0.9363927168142161,26.892423013734792,71.1852554817443,38
0.75,3.0,108,20724,-1401130.9999999665,-12973.435185184875,-1170.1619802234238,-0.055154914608195105,0.8963946685621478,30.067110849695744,74.10699999999949,27
1.0,2.5,108,19331,-1937364.9999999895,-17938.56481481472,-1226.9670884191523,-0.06048802555763256,0.9041255254639713,34.709401024941826,91.18000000000039,19
1.0,3.0,108,19129,-2040479.999999989,-18893.33333333323,-1416.4130027013696,-0.07266077383402605,0.9002003212907761,33.222036519128,92.64000000000034,21
