timeframe,configs,trades,net_profit,avg_net_per_config,total_r,avg_r,median_profit_factor,avg_win_rate,worst_dd_pct,profitable
M15,1080,192831,-4072397.9999998705,-3770.738888888769,-734.5136882117672,-0.006340297359787956,0.9683114372011097,40.306328206822336,81.58598158598159,502
M5,1080,209136,-5431642.999999953,-5029.299074074031,-4501.04723075442,-0.02315477114518575,0.9476498788204162,39.37986849686466,92.64000000000034,475
M1,1080,219934,-5158161.999999954,-4776.075925925884,-5523.10436433092,-0.026149789664641092,0.9623066312644737,39.07994778493705,87.8499999999992,461
