name,timeframe,session,orb_minutes,news_mode,risk_reward,sl_range_mult,max_trades,reverse,range_start,range_end,stop_time,trades,wins,losses,win_rate,net_profit,profit_factor,expectancy,max_dd_money,max_dd_pct,avg_r,total_r,recovery_factor,max_consec_losses,long_net,short_net,avg_duration_min
M5_LONDON_ORB30_INCLUDE_NEWS_RR3_SL2_R_FWD,M5,LONDON,30,INCLUDE_NEWS,3.0,2.0,1,False,03:00,03:30,09:30,158,71,87,44.936708860759495,60789.999999999185,1.342170437915114,384.74683544303366,20470.000000000073,18.350151856569074,0.09062733256369201,14.319118545063338,2.9697117733267695,7,-2720.0000000003492,63509.999999999665,279.17088607594934
M5_LONDON_ORB15_INCLUDE_NEWS_RR1_SL1p5_RRR_REV,M5,LONDON,15,INCLUDE_NEWS,1.0,1.5,3,True,03:00,03:15,09:30,314,183,131,58.28025477707006,60569.99999999933,1.2808392256867929,192.89808917197215,28290.000000000146,24.847393614685465,0.14179643089982324,44.5240793025445,2.1410392364792865,9,26819.99999999925,33750.0,83.98089171974522
M5_LONDON_ORB15_SKIP_NEWS_RR2_SL0p75_RRR_REV,M5,LONDON,15,SKIP_NEWS,2.0,0.75,3,True,03:00,03:15,09:30,239,103,136,43.09623430962343,60481.00000000058,1.537518108052869,253.05857740585964,8284.999999999884,6.805520990868487,0.24769273550952892,59.19856378677741,7.300060350030348,11,23874.000000000022,36607.00000000043,48.66945606694561
M5_LONDON_ORB60_INCLUDE_NEWS_RR1p5_SL2_R_FWD,M5,LONDON,60,INCLUDE_NEWS,1.5,2.0,1,False,03:00,04:00,09:30,157,79,78,50.318471337579616,60029.999999999156,1.3517726340462874,382.3566878980841,18730.000000000102,16.50002202352126,0.05311923922095321,8.339720557689654,3.2050186865989763,5,7559.999999999265,52469.99999999993,254.1464968152866
M15_LONDON_ORB30_INCLUDE_NEWS_RR2_SL2_R_FWD,M15,LONDON,30,INCLUDE_NEWS,2.0,2.0,1,False,03:00,03:30,09:30,157,76,81,48.40764331210191,59379.999999999534,1.3475359943813614,378.2165605095511,18130.000000000102,14.701601164483394,0.10370549469235334,16.281762666699475,3.2752344180915167,6,11899.99999999973,47479.99999999978,261.52866242038215
M1_LONDON_ORB60_INCLUDE_NEWS_RR1_SL0p75_RR_REV,M1,LONDON,60,INCLUDE_NEWS,1.0,0.75,2,True,03:00,04:00,09:30,277,155,122,55.95667870036101,59227.99999999997,1.3500472813238784,213.81949458483828,15401.000000000058,9.672111586311722,0.1272398494182728,35.245438288861564,3.845724303616632,6,28280.00000000051,30947.99999999968,72.8158844765343
M15_LONDON_ORB30_INCLUDE_NEWS_RR3_SL2_R_FWD,M15,LONDON,30,INCLUDE_NEWS,3.0,2.0,1,False,03:00,03:30,09:30,157,75,82,47.77070063694268,58539.99999999965,1.3377567505192678,372.86624203821395,19480.000000000466,19.480000000000466,0.08509754949917059,13.360315271369782,3.005133470225783,7,4499.999999999731,54039.99999999987,270.68152866242036
M15_LONDON_ORB60_SKIP_NEWS_RR1_SL1_RR_REV,M15,LONDON,60,SKIP_NEWS,1.0,1.0,2,True,03:00,04:00,09:30,153,95,58,62.091503267973856,58440.00000000009,1.5927578861953602,381.960784313727,15960.000000000044,11.113432212241513,0.2165514800637342,33.132376449751334,3.6616541353383414,5,14949.999999999822,43490.00000000042,104.81699346405229
M5_LONDON_ORB30_INCLUDE_NEWS_RR3_SL2_RR_FWD,M5,LONDON,30,INCLUDE_NEWS,3.0,2.0,2,False,03:00,03:30,09:30,178,82,96,46.06741573033708,58219.99999999942,1.3048486752539508,327.0786516853906,26549.99999999981,18.592436974789823,0.0776770372662708,13.826512633396202,2.1928436911487696,6,-1320.0000000004366,59539.99999999997,256.46067415730334
M5_LONDON_ORB30_INCLUDE_NEWS_RR2p5_SL2_RR_FWD,M5,LONDON,30,INCLUDE_NEWS,2.5,2.0,2,False,03:00,03:30,09:30,178,82,96,46.06741573033708,57739.99999999939,1.3023353230704757,324.3820224719073,26549.99999999984,19.867549668874098,0.09042462837509237,16.09558385076644,2.1747645951035683,6,-890.0000000004184,58629.99999999993,251.52247191011236
M5_LONDON_ORB30_INCLUDE_NEWS_RR2p5_SL2_R_FWD,M5,LONDON,30,INCLUDE_NEWS,2.5,2.0,1,False,03:00,03:30,09:30,158,71,87,44.936708860759495,57464.99999999913,1.323454913880441,363.7025316455653,21405.000000000044,18.350151856569074,0.09469921187797022,14.962475476719295,2.684653118430227,7,-2290.0000000003274,59754.99999999965,273.7848101265823
M15_LONDON_ORB15_SKIP_NEWS_RR1_SL1_RRR_REV,M15,LONDON,15,SKIP_NEWS,1.0,1.0,3,True,03:00,03:15,09:30,224,139,85,62.05357142857143,57449.99999999942,1.6053102939626973,256.47321428571246,13720.000000000073,10.007293946024834,0.23952124442664116,53.65275875156762,4.1873177842564955,5,22859.999999999854,34589.99999999973,45.72767857142857
M5_LONDON_ORB15_SKIP_NEWS_RR1_SL1p5_RR_REV,M5,LONDON,15,SKIP_NEWS,1.0,1.5,2,True,03:00,03:15,09:30,177,107,70,60.451977401129945,56944.99999999997,1.4824212131480836,321.72316384180726,14969.999999999985,11.601053936763812,0.19797031329720113,35.0407454536046,3.8039412157648647,7,22644.999999999665,34300.000000000226,85.77966101694915
M15_LONDON_ORB15_SKIP_NEWS_RR1p5_SL1_RRR_REV,M15,LONDON,15,SKIP_NEWS,1.5,1.0,3,True,03:00,03:15,09:30,199,106,93,53.266331658291456,56914.999999999214,1.5515553832735631,286.00502512562383,13994.999999999985,10.734008283479078,0.3000552627536527,59.71099728797688,4.066809574848108,7,23879.999999999833,33034.99999999931,63.4321608040201
M1_LONDON_ORB15_SKIP_NEWS_RR1_SL2_RRR_REV,M1,LONDON,15,SKIP_NEWS,1.0,2.0,3,True,03:00,03:15,09:30,189,106,83,56.08465608465608,56879.99999999974,1.4235294117647042,300.9523809523794,17769.999999999913,10.408246939612221,0.0939704763378292,17.76042002784972,3.200900393922342,6,9529.999999999744,47349.999999999956,124.77248677248677
M5_LONDON_ORB30_INCLUDE_NEWS_RR3_SL2_RRR_FWD,M5,LONDON,30,INCLUDE_NEWS,3.0,2.0,3,False,03:00,03:30,09:30,180,82,98,45.55555555555556,56169.9999999993,1.2909910376625364,312.0555555555526,26549.99999999981,18.592436974789823,0.07029404293186574,12.652927727735833,2.1156308851223993,6,-1320.0000000004366,57489.99999999993,253.83333333333334
M5_LONDON_ORB30_INCLUDE_NEWS_RR2p5_SL2_RRR_FWD,M5,LONDON,30,INCLUDE_NEWS,2.5,2.0,3,False,03:00,03:30,09:30,180,82,98,45.55555555555556,55689.99999999933,1.2885043775578895,309.38888888888584,26549.99999999984,19.867549668874098,0.08289999413947814,14.921998945106065,2.0975517890772,6,-890.0000000004184,56579.99999999987,248.95
M15_LONDON_ORB15_SKIP_NEWS_RR2_SL0p75_RRR_REV,M15,LONDON,15,SKIP_NEWS,2.0,0.75,3,True,03:00,03:15,09:30,204,97,107,47.549019607843135,55624.99999999968,1.619563159243044,272.671568627449,9279.000000000087,7.32932599268576,0.3836132654590278,78.25710615364167,5.9947192585407,8,26981.99999999979,28642.9999999998,52.622549019607845
M15_LONDON_ORB30_INCLUDE_NEWS_RR2_SL2_RR_FWD,M15,LONDON,30,INCLUDE_NEWS,2.0,2.0,2,False,03:00,03:30,09:30,170,83,87,48.8235294117647,55459.999999999476,1.3070364834191412,326.23529411764434,21750.000000000102,16.059957173447653,0.0883504825497156,15.019582033451652,2.5498850574712284,6,15799.999999999727,39659.999999999796,246.47058823529412
M1_LONDON_ORB15_SKIP_NEWS_RR1_SL1p5_RRR_REV,M1,LONDON,15,SKIP_NEWS,1.0,1.5,3,True,03:00,03:15,09:30,230,134,96,58.26086956521739,55374.99999999881,1.3783220605315203,240.7608695652119,14969.999999999985,10.835263462652046,0.1366725878578292,31.434695207300717,3.699064796259109,5,27829.99999999938,27544.99999999934,82.92173913043479
