max_trades,configs,trades,net_profit,avg_net_per_config,total_r,avg_r,median_profit_factor,avg_win_rate,worst_dd_pct,profitable
2,1080,217808,-5027032.999999904,-4654.660185185096,-3264.1177365824756,-0.015261711923225459,0.9606857164236933,39.74605838811947,82.65999999999943,475
1,1080,142560,-2827865.9999999674,-2618.394444444414,-3657.8051255089404,-0.025788350708780317,0.966977598109984,39.10580728325678,64.21028253821216,493
3,1080,261533,-6807303.999999908,-6303.059259259174,-3836.742421205691,-0.014594795537609022,0.957709149250747,39.91427881724779,92.64000000000034,470
