news_mode,configs,trades,net_profit,avg_net_per_config,total_r,avg_r,median_profit_factor,avg_win_rate,worst_dd_pct,profitable
INCLUDE_NEWS,1620,370337,-6598979.999999895,-4073.4444444443793,-5248.757508689482,-0.014310030758599901,0.9659942618629983,39.69740765303252,92.64000000000034,714
SKIP_NEWS,1620,251564,-8063222.9999998845,-4977.2981481480765,-5509.907774607625,-0.02278654135447663,0.9513172458740897,39.48002200605018,91.18000000000039,724
