sl_range_mult,configs,trades,net_profit,avg_net_per_config,total_r,avg_r,median_profit_factor,avg_win_rate,worst_dd_pct,profitable
0.25,540,126834,1612980.9999999916,2987.0018518518364,1218.6657769899407,0.009955186251204874,1.0654858454548282,36.06469962337998,53.95804002522024,338
2.0,540,78951,794130.0000000291,1470.611111111165,273.1893686652247,0.002640189137638731,0.9826129976394737,46.07743677423994,87.8499999999992,266
1.5,540,86592,-3923629.999999989,-7265.981481481461,-1691.8468786659184,-0.02046313369314514,0.9175158186103158,43.04675839324287,83.5750000000002,217
0.5,540,119070,-1735246.9999999641,-3213.4203703703038,-2751.7029318454142,-0.025520129449887522,0.9929332087880185,35.88141249050435,75.40499999999956,262
0.75,540,109654,-4550256.999999867,-8426.401851851606,-3646.1935149232186,-0.0364733406662184,0.9190859922051116,37.24229137800427,81.14899999999965,203
1.0,540,100800,-6860179.9999999795,-12704.037037036998,-4160.777103517721,-0.041428487918822136,0.9130919539159017,39.219690317876676,92.64000000000034,152
