risk_reward,configs,trades,net_profit,avg_net_per_config,total_r,avg_r,median_profit_factor,avg_win_rate,worst_dd_pct,profitable
1.0,648,131485,954498.9999999923,1472.9922839506055,756.558667130007,0.0034249226558156483,1.0382847568535927,49.98480925189749,81.58598158598159,363
1.5,648,126048,-2974015.999999953,-4589.530864197458,-1710.4720975747093,-0.01609503672255426,0.9783874465156895,41.868393837410714,87.22443167869639,302
2.0,648,123050,-3991528.999999945,-6159.766975308557,-2770.994019965831,-0.02318821285600259,0.9378902408105996,37.6026737849886,92.33999999999973,274
2.5,648,121226,-4417703.99999993,-6817.444444444337,-3224.4461916710566,-0.026454183445527732,0.9403976394166016,35.076528891392805,91.18000000000039,254
3.0,648,120092,-4233452.999999942,-6533.106481481393,-3809.3116412155173,-0.030428919914422394,0.930714171972651,33.41116838201714,92.64000000000034,245
