orb_minutes,configs,trades,net_profit,avg_net_per_config,total_r,avg_r,median_profit_factor,avg_win_rate,worst_dd_pct,profitable
30,1080,208579,-4976308.999999936,-4607.693518518459,-2325.537650650842,-0.013549736556529208,0.9641000931651371,39.58718963094324,77.06399999999967,463
60,1080,189208,-3249834.999999913,-3009.106481481401,-2433.386730906699,-0.016002667648668263,0.9470568106023107,41.67955375504821,81.14899999999965,463
15,1080,224114,-6436058.99999993,-5959.313888888824,-5999.740901739566,-0.026092453964417322,0.9776616878210196,37.4994011026326,92.64000000000034,512
