timeframe,session,orb_minutes,news_mode,risk_reward,sl_range_mult,max_trades,trades_rev,net_profit_rev,profit_factor_rev,win_rate_rev,max_dd_pct_rev,avg_r_rev,trades_fwd,net_profit_fwd,profit_factor_fwd,win_rate_fwd,max_dd_pct_fwd,avg_r_fwd,edge_over_forward
M5,LONDON,15,SKIP_NEWS,1.5,1.0,3,233,66744.99999999988,1.5330644517211085,51.50214592274678,7.453880050787907,0.23992728195606752,233,-82035.0000000005,0.6245365920637083,30.042918454935624,87.22443167869639,-0.26048108848496576,148780.00000000038
M5,LONDON,15,SKIP_NEWS,2.0,1.0,3,206,53669.99999999956,1.4527585625105421,43.203883495145625,11.376719679968728,0.2000228269266589,226,-84940.00000000022,0.6189664453615641,26.10619469026549,91.04000000000009,-0.27182313698778093,138609.99999999977
M5,LONDON,15,SKIP_NEWS,1.0,1.5,3,219,71714.99999999988,1.523600919943049,60.73059360730594,10.474757723122138,0.19437307783645086,199,-65900.00000000032,0.6784346256129978,39.19597989949749,74.7387387387391,-0.17715268259759057,137615.0000000002
M5,LONDON,15,SKIP_NEWS,1.0,2.0,3,180,76470.00000000003,1.6310968061401343,60.0,10.515166104959048,0.170599135336271,159,-57169.99999999995,0.6847532395919493,42.76729559748428,69.68521692071766,-0.11326279605204437,133639.99999999997
M15,LONDON,15,SKIP_NEWS,1.0,1.0,3,224,57449.99999999942,1.6053102939626973,62.05357142857143,10.007293946024834,0.23952124442664116,200,-75430.0,0.5869791381481676,35.5,81.58598158598159,-0.2748238447763864,132879.99999999942
M5,LONDON,15,SKIP_NEWS,1.0,2.0,2,156,76650.00000000017,1.7176294354461212,61.53846153846154,10.277647058823504,0.20070065678610527,146,-54150.00000000011,0.68690372940156,42.465753424657535,64.61026967122255,-0.11800512671283375,130800.00000000029
M5,LONDON,15,SKIP_NEWS,2.5,0.75,3,219,51721.99999999974,1.4601110201757812,38.81278538812785,13.291450739700512,0.2872490037596904,252,-76468.99999999983,0.6329394032487231,21.825396825396826,80.67299999999983,-0.3024567939265964,128190.99999999956
M15,LONDON,15,SKIP_NEWS,1.5,1.0,3,199,56914.999999999214,1.5515553832735631,53.266331658291456,10.734008283479078,0.3000552627536527,196,-70364.99999999993,0.635829624262499,30.102040816326532,72.03499999999991,-0.2675611634625763,127279.99999999914
M1,LONDON,60,INCLUDE_NEWS,1.0,0.75,3,348,63183.0,1.3036636884879553,54.88505747126437,8.589627827838934,0.10843599405337975,335,-62856.99999999994,0.774901340056295,44.47761194029851,76.2566581179719,-0.11138280927957463,126039.99999999994
M5,LONDON,15,SKIP_NEWS,2.0,0.75,3,239,60481.00000000058,1.537518108052869,43.09623430962343,6.805520990868487,0.24769273550952892,257,-64700.999999999694,0.6829454743248612,25.291828793774318,69.06831201443892,-0.26376424806478127,125182.00000000028
M5,LONDON,15,INCLUDE_NEWS,1.5,1.0,3,340,50034.999999999796,1.2515712202725122,47.94117647058824,16.091954022988435,0.14891941707645026,338,-71944.99999999981,0.7539079870018814,33.13609467455622,84.94007797083309,-0.1923744488810042,121979.9999999996
M15,LONDON,15,SKIP_NEWS,2.0,1.0,3,174,47369.999999999185,1.4781950333131348,48.85057471264368,12.981744421906818,0.3636254339159071,194,-72439.99999999991,0.6309542004177496,27.835051546391753,78.23999999999991,-0.24541847399026076,119809.9999999991
