news_mode,configs,trades,net_profit,avg_net_per_config,median_profit_factor,avg_win_rate,worst_dd_pct,configs_profitable
INCLUDE_NEWS,27,11214,432625.00000000396,16023.148148148295,1.0727159924277365,37.37341259835909,78.07206036679818,16
SKIP_NEWS,27,7631,-33439.99999999481,-1238.5185185183263,0.9845383595935808,36.515207252404664,80.11499999999894,13
