timeframe,session,orb_minutes,risk_reward,trades_include,net_profit_include,profit_factor_include,win_rate_include,max_dd_pct_include,max_consec_losses_include,avg_r_include,trades_skip,net_profit_skip,profit_factor_skip,win_rate_skip,max_dd_pct_skip,max_consec_losses_skip,avg_r_skip,delta_trades,delta_net_profit,delta_profit_factor,delta_win_rate,delta_max_dd_pct,delta_max_consec_losses,delta_avg_r
M1,ASIA,15,2.0,857,88054.99999999793,1.284383225410557,36.63943990665111,14.15609079673261,16,0.08259434863143919,584,73429.99999999854,1.3488858269587038,37.32876712328767,12.361612515042196,18,0.10860611100739455,-273,-14624.999999999389,0.06450260154814691,0.6893272166365563,-1.794478281690413,2,0.026011762375955358
M1,ASIA,30,2.0,677,114934.99999999939,1.4091014255459218,38.10930576070901,11.604207758053994,11,0.12595754635471634,458,115084.99999999904,1.6345491136658044,39.737991266375545,8.632982021078867,14,0.18905549390899454,-219,149.99999999965075,0.22544768811988258,1.6286855056665317,-2.9712257369751267,3,0.0630979475542782
M1,ASIA,60,2.0,478,89119.99999999974,1.3312641712820132,38.912133891213394,14.02688486265338,18,0.11991396372197285,314,77054.99999999942,1.4212382123821217,39.490445859872615,13.05422299752885,12,0.1466169243561251,-164,-12065.00000000032,0.08997404110010843,0.5783119686592215,-0.9726618651245307,-6,0.026702960634152256
M1,LONDON,15,2.0,796,-27694.999999999403,0.9205183027450548,33.165829145728644,42.57318224740328,14,-0.03077361745889986,553,-40214.999999998756,0.8363281170509397,32.368896925858955,49.63319359756012,14,-0.05509813708079302,-243,-12519.999999999352,-0.08419018569411507,-0.7969322198696887,7.060011350156842,0,-0.024324519621893165
M1,LONDON,30,2.0,610,-38154.99999999981,0.8862182593525881,31.311475409836063,55.91126217159662,12,-0.09000884959115438,428,-63244.999999999505,0.741186340105991,29.205607476635514,72.74174869716225,15,-0.1503898270845655,-182,-25089.999999999694,-0.14503191924659709,-2.1058679332005497,16.830486525565632,3,-0.06038097749341112
M1,LONDON,60,2.0,427,-61374.99999999965,0.8016097490019889,31.85011709601874,78.07206036679818,12,-0.12371473349366915,292,-46089.999999999534,0.778114769882536,31.506849315068493,56.6499999999998,12,-0.13953448898207682,-135,15285.000000000116,-0.023494979119452863,-0.3432677809502458,-21.422060366798384,0,-0.015819755488407666
M1,NEW_YORK,15,2.0,448,22854.999999999724,1.0727159924277365,39.0625,21.74649171360678,11,0.039790630139472725,287,-3149.9999999997526,0.9845383595935808,39.37282229965157,24.741266421661948,11,0.03266931836675516,-161,-26004.999999999476,-0.0881776328341557,0.3103222996515669,2.994774708055168,0,-0.007121311772717569
M1,NEW_YORK,30,2.0,347,-45589.999999999534,0.8585259891388688,38.90489913544668,58.69812393405305,10,-0.024448437993422358,227,-39554.99999999949,0.8138719619791562,39.20704845814978,52.89342214820935,9,-0.026797863137824562,-120,6035.000000000044,-0.04465402715971256,0.30214932270309447,-5.804701785843697,-1,-0.002349425144402204
M1,NEW_YORK,60,2.0,221,-3575.000000000029,0.9836470507513205,42.081447963800905,40.100113574222824,8,0.016950164631504318,150,-34739.99999999948,0.7857275026213555,40.666666666666664,50.95702062416528,6,-0.04467302588124375,-71,-31164.999999999454,-0.19791954812996504,-1.4147812971342404,10.856907049942457,-2,-0.06162319051274807
M5,ASIA,15,2.0,565,9230.000000000407,1.033314083592003,35.92920353982301,26.36805039149628,12,0.04287175248416445,397,5414.999999999767,1.0276494166304975,36.02015113350126,16.37148251371061,14,0.05255566407169765,-168,-3815.0000000006403,-0.005664666961505471,0.09094759367825134,-9.996567877785669,2,0.009683911587533199
M5,ASIA,30,2.0,482,91164.99999999965,1.3837960721577853,39.62655601659751,11.25015260651956,8,0.139161851243993,334,54579.99999999956,1.3301475925477821,39.221556886227546,10.711228298462505,11,0.14686501644016242,-148,-36585.00000000009,-0.053648479610003186,-0.4049991303699656,-0.5389243080570552,3,0.007703165196169426
M5,ASIA,60,2.0,375,111485.00000000017,1.4930019678510635,42.4,12.746500603102556,14,0.1757294339699254,244,67765.0,1.434488507036835,42.21311475409836,12.19091792284309,11,0.18705195897651694,-131,-43720.000000000175,-0.05851346081422859,-0.18688524590163524,-0.5555826802594659,-3,0.011322525006591533
M5,LONDON,15,2.0,574,-51824.99999999849,0.8322896946750196,29.965156794425084,65.49995178864066,15,-0.13620338630191087,406,-66474.99999999904,0.7112105480374514,28.32512315270936,75.17383214180708,15,-0.18872418691324583,-168,-14650.000000000553,-0.12107914663756814,-1.6400336417157249,9.673880353166425,0,-0.05252080061133496
M5,LONDON,30,2.0,465,-49769.99999999956,0.8323790920113178,30.967741935483872,66.42037721174398,13,-0.1204954826133089,328,-68194.99999999927,0.6952655450544076,28.04878048780488,78.52926709296541,13,-0.2130365485092564,-137,-18424.99999999971,-0.13711354695691014,-2.918961447678992,12.10888988122143,0,-0.0925410658959475
M5,LONDON,60,2.0,351,-62764.99999999901,0.7768633236752791,30.1994301994302,77.84499999999906,11,-0.17295843187439722,236,-44779.99999999913,0.7590529997309691,28.8135593220339,56.22499999999913,11,-0.2159335843085905,-115,17984.999999999884,-0.017810323944310036,-1.3858708773963002,-21.619999999999933,0,-0.04297515243419328
M5,NEW_YORK,15,2.0,361,48009.99999999913,1.1810946399607674,40.16620498614959,18.66847365746264,9,0.0260869291827507,235,9569.999999999593,1.0554653993276895,40.0,17.817401796487566,14,-0.006832246890965772,-126,-38439.999999999534,-0.1256292406330779,-0.16620498614958734,-0.8510718609750754,5,-0.03291917607371647
M5,NEW_YORK,30,2.0,295,19480.000000000568,1.0741982174144908,41.01694915254237,23.138171715118265,8,0.019299249413552003,191,7070.000000000204,1.0428251256890189,41.361256544502616,22.657486546375484,12,0.005696796877236175,-104,-12410.000000000364,-0.03137309172547198,0.34430739196024973,-0.4806851687427809,4,-0.013602452536315828
M5,NEW_YORK,60,2.0,190,20660.000000000073,1.1188175753393148,45.26315789473684,21.424883840991225,6,0.05315018117253927,128,-5469.9999999998545,0.9547372776168814,44.53125,31.525141850909993,8,0.001837458479865101,-62,-26129.999999999927,-0.16408029772243338,-0.7319078947368425,10.100258009918768,2,-0.05131272269267417
M15,ASIA,15,2.0,374,9030.000000000102,1.0410491862896636,38.770053475935825,24.622471460044224,16,0.03699786272614923,260,5190.000000000029,1.0331058238183333,37.69230769230769,16.428629392193383,10,0.020364697711381347,-114,-3840.0000000000728,-0.007943362471330317,-1.0777457836281314,-8.193842067850841,-6,-0.016633165014767883
