orb_minutes,configs,trades,net_profit,avg_net_per_config,median_profit_factor,avg_win_rate,worst_dd_pct,configs_profitable
30,18,6394,204160.0000000034,11342.222222222412,1.0585116715517549,36.532017301215525,78.52926709296541,10
60,18,4625,173080.00000000309,9615.555555555728,0.969192164184101,38.73717915597199,78.07206036679818,8
15,18,7826,21945.00000000265,1219.1666666668139,1.033209953705168,35.563733318958114,80.11499999999894,11
