timeframe,session,configs,trades,net_profit,avg_net_per_config,median_profit_factor,avg_win_rate,worst_dd_pct,configs_profitable
M1,ASIA,6,3368,557679.9999999941,92946.66666666568,1.3789936262523128,38.36968063468489,14.15609079673261,6
M5,ASIA,6,2397,339639.99999999953,56606.66666666659,1.3569718323527837,39.23509705504128,26.36805039149628,6
M15,NEW_YORK,6,1140,191125.00000000105,31854.166666666843,1.2170819490472766,42.52302512880909,26.118155902880208,5
M15,ASIA,6,1703,177335.00000000035,29555.83333333339,1.163306760947305,39.840656080478766,24.622471460044224,6
M5,NEW_YORK,6,1400,99319.99999999971,16553.333333333285,1.0648318083710901,42.05646976298857,31.525141850909993,5
M1,NEW_YORK,6,1680,-103754.99999999857,-17292.499999999764,0.9210865199450946,39.882564087285935,58.69812393405305,1
M15,LONDON,6,1691,-241574.99999999587,-40262.49999999931,0.8212673670878434,29.63653536897607,80.11499999999894,0
M1,LONDON,6,3106,-276774.9999999967,-46129.16666666611,0.8189689330264642,31.56812922819107,78.07206036679818,0
M5,LONDON,6,2360,-343809.9999999945,-57301.666666665755,0.7679581617031241,29.386631981981214,78.52926709296541,0
